t_s,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,predict_on,true_range_m,est_range_m,range_err_m,range_sigma_m,est_size_w_m,est_size_h_m,size_err_m,true_speed_mps,est_speed_mps,held_err_px,est_err_px,track_err_px,origin_hdg,origin_att,delayed_hdg,delayed_att,jittered_hdg,jittered_att,est_hdg,est_att,pred_hdg,pred_att,err_delayed_hdg,err_delayed_att,err_jittered_hdg,err_jittered_att,err_est_hdg,err_est_att,detect_count,detect_age_s,tracker_updates,tracker_rejects,imm_p0,imm_p1,imm_p2,chaser_vx,chaser_vy,chaser_vz,target_vx,target_vy,target_vz,timing_on,period_s,pkt_latency_s,meas_stamp_s,stamp_err_s,zoom,fov_deg,fx
2.3600,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.9758,7.8995,1.9237,2.1726,0.3814,0.1304,0.0609,6.0000,6.3771,13.9103,5.1511,66.1283,54.9870,-29.0982,52.1471,-24.7063,52.5610,-24.7287,55.7542,-28.5855,87.5042,-51.4072,-2.8399,4.3919,-2.4260,4.3695,0.7672,0.5127,22,0.1000,22,0,1.0000,0.0000,0.0000,8.9239,10.5905,1.2643,4.4274,4.0495,0.0000,1,0.1074,0.0469,2.2583,-0.0017,1.000,70.00,342.76
2.3700,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.9194,7.8735,1.9541,2.1905,0.3814,0.1304,0.0597,6.0000,6.3771,15.1523,5.7430,67.2576,55.2909,-29.5444,52.1471,-24.7063,52.5610,-24.7287,56.0700,-28.8923,87.1484,-50.9979,-3.1438,4.8381,-2.7300,4.8157,0.7791,0.6521,22,0.1100,22,0,1.0000,0.0000,0.0000,8.7395,10.4217,1.2653,4.4159,4.0620,0.0000,1,0.0812,0.0468,2.2583,-0.0017,1.000,70.00,342.76
2.3800,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.8657,7.8520,1.9863,2.2097,0.3814,0.1304,0.0585,6.0000,6.3771,16.3608,6.4492,68.3617,55.5976,-29.9863,52.1471,-24.7063,52.5610,-24.7287,56.3838,-29.1800,86.7656,-50.5555,-3.4505,5.2800,-3.0366,5.2576,0.7862,0.8063,22,0.1200,22,0,1.0000,0.0000,0.0000,8.5548,10.2532,1.2624,4.4043,4.0746,0.0000,1,0.0812,0.0468,2.2583,-0.0017,1.000,70.00,342.76
2.3900,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.8145,7.8349,2.0204,2.2301,0.3814,0.1304,0.0574,6.0000,6.3771,17.5329,7.2711,69.4376,55.9067,-30.4228,52.1471,-24.7063,52.5610,-24.7287,56.6948,-29.4475,86.3580,-50.0827,-3.7596,5.7165,-3.3457,5.6941,0.7881,0.9753,22,0.1300,22,0,1.0000,0.0000,0.0000,8.3700,10.0850,1.2562,4.3927,4.0871,0.0000,1,0.0812,0.0468,2.2583,-0.0017,1.000,70.00,342.76
2.4000,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.7658,7.8222,2.0564,2.2518,0.3814,0.1304,0.0563,6.0000,6.3771,18.6660,8.2076,70.4825,56.2179,-30.8531,52.1471,-24.7063,52.5610,-24.7287,57.0024,-29.6942,85.9285,-49.5817,-4.0708,6.1468,-3.6569,6.1244,0.7845,1.1588,22,0.1400,22,0,1.0000,0.0000,0.0000,8.1850,9.9170,1.2471,4.3810,4.0997,0.0000,1,0.0812,0.0468,2.2583,-0.0017,1.000,70.00,342.76
2.4100,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.7196,7.8138,2.0942,2.2747,0.3814,0.1304,0.0552,6.0000,6.3771,19.7582,9.2559,71.4938,56.5308,-31.2762,52.1471,-24.7063,52.5610,-24.7287,57.3059,-29.9195,85.4799,-49.0543,-4.3837,6.5699,-3.9698,6.5475,0.7751,1.3567,22,0.1500,22,0,1.0000,0.0000,0.0000,7.9999,9.7494,1.2356,4.3692,4.1122,0.0000,1,0.0812,0.0468,2.2583,-0.0017,1.000,70.00,342.76
2.4200,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.6758,7.8992,2.2234,1.5474,0.3807,0.1357,0.0534,6.0000,6.7342,4.2033,7.0309,72.4694,56.8450,-31.6913,55.2909,-29.5444,55.6379,-29.7649,57.3095,-30.6172,81.7580,-49.1842,-1.5541,2.1469,-1.2072,1.9264,0.4645,1.0741,23,0.0500,23,0,1.0000,0.0000,0.0000,7.8147,9.5821,1.2218,4.3573,4.1248,0.0000,1,0.0812,0.0468,2.3683,-0.0017,1.000,70.00,342.76
2.4300,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.6345,7.8810,2.2465,1.5664,0.3807,0.1357,0.0523,6.0000,6.7342,5.0736,7.6577,73.3624,57.1602,-32.0975,55.2909,-29.5444,55.6379,-29.7649,57.6128,-30.9128,81.4947,-48.7602,-1.8693,2.5531,-1.5223,2.3326,0.4527,1.1846,23,0.0600,23,0,1.0000,0.0000,0.0000,7.6293,9.4151,1.2062,4.3454,4.1373,0.0000,1,0.0812,0.0468,2.3683,-0.0017,1.000,70.00,342.76
2.4400,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.5955,7.8672,2.2717,1.5871,0.3807,0.1357,0.0513,6.0000,6.7342,5.9007,8.3545,74.1974,57.4758,-32.4940,55.2909,-29.5444,55.6379,-29.7649,57.9123,-31.1879,81.2104,-48.3118,-2.1849,2.9496,-1.8379,2.7291,0.4365,1.3061,23,0.0700,23,0,1.0000,0.0000,0.0000,7.4438,9.2484,1.1887,4.3335,4.1498,0.0000,1,0.0812,0.0468,2.3683,-0.0017,1.000,70.00,342.76
2.4500,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.5588,7.8576,2.2988,1.6094,0.3807,0.1357,0.0501,6.0000,6.7342,6.6734,9.1213,74.9743,57.7922,-32.8799,55.2909,-29.5444,55.6379,-29.7649,58.2072,-31.4415,80.9072,-47.8401,-2.5013,3.3355,-2.1543,3.1150,0.4151,1.4384,23,0.0800,23,0,1.0000,0.0000,0.0000,7.2582,9.0820,1.1697,4.3214,4.1624,0.0000,1,0.0812,0.0468,2.3683,-0.0017,1.000,70.00,342.76
2.4600,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.5245,7.8523,2.3278,1.6333,0.3807,0.1357,0.0489,6.0000,6.7342,7.3860,9.9594,75.6902,58.1084,-33.2546,55.2909,-29.5444,55.6379,-29.7649,58.4971,-31.6731,80.5869,-47.3463,-2.8175,3.7102,-2.4705,3.4897,0.3887,1.5816,23,0.0900,23,0,1.0000,0.0000,0.0000,7.0724,8.9160,1.1491,4.3093,4.1749,0.0000,1,0.1142,0.0509,2.3683,-0.0009,1.000,70.00,342.76
2.4700,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.4923,7.8511,2.3587,1.6588,0.3807,0.1357,0.0478,6.0000,6.7342,8.0347,10.8688,76.3425,58.4236,-33.6173,55.2909,-29.5444,55.6379,-29.7649,58.7812,-31.8820,80.2515,-46.8313,-3.1327,4.0729,-2.7858,3.8524,0.3576,1.7353,23,0.1000,23,0,1.0000,0.0000,0.0000,6.8865,8.7502,1.1272,4.2971,4.1875,0.0000,1,0.1142,0.0509,2.3683,-0.0009,1.000,70.00,342.76
2.4800,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.4624,7.8539,2.3915,1.6859,0.3807,0.1357,0.0466,6.0000,6.7342,8.6169,11.8483,76.9299,58.7374,-33.9672,55.2909,-29.5444,55.6379,-29.7649,59.0590,-32.0678,79.9029,-46.2963,-3.4465,4.4228,-3.0996,4.2023,0.3216,1.8994,23,0.1100,23,0,1.0000,0.0000,0.0000,6.7005,8.5848,1.1040,4.2848,4.2000,0.0000,1,0.1142,0.0509,2.3683,-0.0009,1.000,70.00,342.76
2.4900,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.4346,7.8608,2.4262,1.7145,0.3807,0.1357,0.0455,6.0000,6.7342,9.1309,12.8962,77.4513,59.0492,-34.3037,55.2909,-29.5444,55.6379,-29.7649,59.3299,-32.2301,79.5429,-45.7423,-3.7583,4.7593,-3.4114,4.5388,0.2807,2.0736,23,0.1200,23,0,1.0000,0.0000,0.0000,6.5144,8.4198,1.0796,4.2725,4.2125,0.0000,1,0.1142,0.0509,2.3683,-0.0009,1.000,70.00,342.76
2.5000,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.4090,7.8716,2.4627,1.7445,0.3807,0.1357,0.0444,6.0000,6.7342,9.5754,14.0102,77.9057,59.3585,-34.6262,55.2909,-29.5444,55.6379,-29.7649,59.5934,-32.3687,79.1732,-45.1704,-4.0676,5.0818,-3.7206,4.8613,0.2349,2.2575,23,0.1300,23,0,1.0000,0.0000,0.0000,6.3281,8.2550,1.0541,4.2601,4.2251,0.0000,1,0.1142,0.0509,2.3683,-0.0009,1.000,70.00,342.76
2.5100,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.3854,7.8864,2.5010,1.7760,0.3807,0.1357,0.0433,6.0000,6.7342,9.9496,15.1873,78.2922,59.6647,-34.9340,55.2909,-29.5444,55.6379,-29.7649,59.8489,-32.4832,78.7953,-44.5816,-4.3738,5.3896,-4.0268,5.1691,0.1842,2.4508,23,0.1400,23,0,1.0000,0.0000,0.0000,6.1416,8.0906,1.0275,4.2477,4.2376,0.0000,1,0.1142,0.0509,2.3683,-0.0009,1.000,70.00,342.76
2.5200,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.3639,7.3367,1.9728,1.3735,0.3784,0.1418,0.0399,6.0000,5.5064,0.6654,4.0272,78.6099,59.9671,-35.2265,58.1084,-33.2546,58.3889,-33.5840,60.5265,-34.7570,84.0701,-50.6356,-1.8587,1.9718,-1.5783,1.6424,0.5594,0.4695,24,0.0600,24,0,1.0000,0.0000,0.0000,5.9551,7.9265,0.9998,4.2351,4.2501,0.0000,1,0.1142,0.0509,2.4591,-0.0009,1.000,70.00,342.76
2.5300,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.3444,7.3332,1.9888,1.3956,0.3784,0.1418,0.0387,6.0000,5.5064,0.4533,4.1951,78.4819,60.2644,-35.5032,58.1084,-33.2546,58.3889,-33.5840,60.8343,-35.0027,83.6472,-50.0943,-2.1561,2.2486,-1.8756,1.9191,0.5698,0.5005,24,0.0700,24,0,1.0000,0.0000,0.0000,5.7684,7.7627,0.9711,4.2225,4.2627,0.0000,1,0.1142,0.0509,2.4591,-0.0009,1.000,70.00,342.76
2.5400,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.3269,7.3335,2.0066,1.4194,0.3784,0.1418,0.0376,6.0000,5.5064,0.1799,4.4029,78.2624,60.5570,-35.7636,58.1084,-33.2546,58.3889,-33.5840,61.1343,-35.2219,83.2095,-49.5308,-2.4486,2.5089,-2.1681,2.1795,0.5773,0.5417,24,0.0800,24,0,1.0000,0.0000,0.0000,5.5816,7.5992,0.9415,4.2099,4.2752,0.0000,1,0.1142,0.0509,2.4591,-0.0009,1.000,70.00,342.76
2.5500,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.3113,7.3376,2.0263,1.4447,0.3784,0.1418,0.0365,6.0000,5.5064,0.2798,4.6547,77.9526,60.8442,-36.0072,58.1084,-33.2546,58.3889,-33.5840,61.4258,-35.4140,82.7593,-48.9462,-2.7359,2.7525,-2.4554,2.4231,0.5816,0.5931,24,0.0900,24,0,1.0000,0.0000,0.0000,5.3946,7.4361,0.9109,4.1971,4.2877,0.0000,1,0.1142,0.0509,2.4591,-0.0009,1.000,70.00,342.76
2.5600,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.2976,7.3454,2.0477,1.4717,0.3784,0.1418,0.0354,6.0000,5.5064,0.7398,4.9550,77.5537,61.1256,-36.2335,58.1084,-33.2546,58.3889,-33.5840,61.7082,-35.5788,82.2986,-48.3412,-3.0172,2.9789,-2.7367,2.6495,0.5826,0.6547,24,0.1000,24,0,1.0000,0.0000,0.0000,5.2075,7.2733,0.8794,4.1843,4.3002,0.0000,1,0.1142,0.0509,2.4591,-0.0009,1.000,70.00,342.76
2.5700,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.2858,7.3567,2.0708,1.5001,0.3784,0.1418,0.0344,6.0000,5.5064,1.2980,5.3019,77.0687,61.4007,-36.4425,58.1084,-33.2546,58.3889,-33.5840,61.9814,-35.7178,81.8405,-47.7266,-3.2923,3.1878,-3.0118,2.8584,0.5808,0.7247,24,0.1100,24,0,1.0000,0.0000,0.0000,5.0225,7.1127,0.8475,4.1714,4.3127,0.0000,1,0.1142,0.0509,2.4591,-0.0009,1.000,70.00,342.76
2.5800,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.2758,7.3713,2.0954,1.5299,0.3784,0.1418,0.0333,6.0000,5.5064,1.9420,5.6965,76.5005,61.6689,-36.6338,58.1084,-33.2546,58.3889,-33.5840,62.2452,-35.8311,81.3859,-47.1034,-3.5606,3.3792,-3.2801,3.0498,0.5763,0.8027,24,0.1200,24,0,1.0000,0.0000,0.0000,4.8395,6.9543,0.8151,4.1585,4.3251,0.0000,1,0.0950,0.0598,2.4591,0.0012,1.000,70.00,342.76
2.5900,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.2676,7.3891,2.1215,1.5612,0.3784,0.1418,0.0323,6.0000,5.5064,2.6676,6.1393,75.8521,61.9301,-36.8076,58.1084,-33.2546,58.3889,-33.5840,62.4992,-35.9192,80.9357,-46.4723,-3.8217,3.5530,-3.5412,3.2236,0.5691,0.8883,24,0.1300,24,0,1.0000,0.0000,0.0000,4.6585,6.7981,0.7822,4.1455,4.3376,0.0000,1,0.0950,0.0598,2.4591,0.0012,1.000,70.00,342.76
2.6000,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.2610,7.4101,2.1491,1.5938,0.3784,0.1418,0.0314,6.0000,5.5064,3.4715,6.6293,75.1265,62.1836,-36.9636,58.1084,-33.2546,58.3889,-33.5840,62.7431,-35.9825,80.4905,-45.8343,-4.0752,3.7090,-3.7948,3.3796,0.5595,0.9812,24,0.1400,24,0,1.0000,0.0000,0.0000,4.4794,6.6439,0.7489,4.1324,4.3501,0.0000,1,0.0950,0.0598,2.4591,0.0012,1.000,70.00,342.76
2.6100,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.2562,7.4342,2.1780,1.6278,0.3784,0.1418,0.0304,6.0000,5.5064,4.3505,7.1647,74.3269,62.4292,-37.1020,58.1084,-33.2546,58.3889,-33.5840,62.9767,-36.0213,80.0509,-45.1902,-4.3209,3.8474,-4.0404,3.5180,0.5474,1.0807,24,0.1500,24,0,1.0000,0.0000,0.0000,4.3022,6.4917,0.7153,4.1193,4.3625,0.0000,1,0.0950,0.0598,2.4591,0.0012,1.000,70.00,342.76
2.6200,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.2529,7.4612,2.2083,1.6630,0.3784,0.1418,0.0295,6.0000,5.5064,5.3013,7.7434,73.4565,62.6666,-37.2226,58.1084,-33.2546,58.3889,-33.5840,63.1997,-36.0362,79.6174,-44.5407,-4.5582,3.9680,-4.2777,3.6386,0.5332,1.1864,24,0.1600,24,0,1.0000,0.0000,0.0000,4.1267,6.3415,0.6812,4.1060,4.3750,0.0000,1,0.0950,0.0598,2.4591,0.0012,1.000,70.00,342.76
2.6300,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.2513,7.4912,2.2399,1.6995,0.3784,0.1418,0.0286,6.0000,5.5064,6.3206,8.3624,72.5184,62.8953,-37.3256,58.1084,-33.2546,58.3889,-33.5840,63.4122,-36.0277,79.1904,-43.8866,-4.7869,4.0710,-4.5065,3.7416,0.5169,1.2979,24,0.1700,24,0,1.0000,0.0000,0.0000,3.9531,6.1932,0.6469,4.0928,4.3874,0.0000,1,0.0950,0.0598,2.4591,0.0012,1.000,70.00,342.76
2.6400,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.2511,6.7706,1.5195,1.2935,0.3724,0.1515,0.0218,6.0000,4.3067,5.6859,2.7406,71.5164,63.1152,-37.4110,61.6689,-36.6338,61.9114,-36.5924,63.5266,-37.1046,80.0642,-45.6483,-1.4462,0.7772,-1.2037,0.8187,0.4114,0.3064,25,0.0600,25,0,1.0000,0.0000,0.0000,3.7812,6.0467,0.6121,4.0794,4.3998,0.0000,1,0.0950,0.0598,2.5812,0.0012,1.000,70.00,342.76
2.6500,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.2526,6.7730,1.5204,1.3185,0.3724,0.1515,0.0210,6.0000,4.3067,7.0014,2.7445,70.3040,63.3259,-37.4790,61.6689,-36.6338,61.9114,-36.5924,63.7659,-37.1971,79.6550,-44.9984,-1.6569,0.8452,-1.4144,0.8867,0.4401,0.2820,25,0.0700,25,0,1.0000,0.0000,0.0000,3.6109,5.9021,0.5771,4.0660,4.4122,0.0000,1,0.0950,0.0598,2.5812,0.0012,1.000,70.00,342.76
2.6600,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.2554,6.7783,1.5229,1.3450,0.3724,0.1515,0.0202,6.0000,4.3067,8.4074,2.7916,69.0150,63.5272,-37.5296,61.6689,-36.6338,61.9114,-36.5924,63.9947,-37.2628,79.2459,-44.3376,-1.8583,0.8958,-1.6158,0.9373,0.4674,0.2668,25,0.0800,25,0,1.0000,0.0000,0.0000,3.4422,5.7591,0.5417,4.0525,4.4246,0.0000,1,0.0950,0.0598,2.5812,0.0012,1.000,70.00,342.76
2.6700,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.2598,6.7865,1.5267,1.3728,0.3724,0.1515,0.0194,6.0000,4.3067,9.8947,2.8726,67.6547,63.7190,-37.5630,61.6689,-36.6338,61.9114,-36.5924,64.2124,-37.3021,78.8379,-43.6669,-2.0500,0.9292,-1.8075,0.9707,0.4935,0.2609,25,0.0900,25,0,1.0000,0.0000,0.0000,3.2752,5.6179,0.5060,4.0389,4.4370,0.0000,1,0.0950,0.0598,2.5812,0.0012,1.000,70.00,342.76
2.6800,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.2656,6.7975,1.5320,1.4020,0.3724,0.1515,0.0187,6.0000,4.3067,11.4561,2.9807,66.2282,63.9010,-37.5794,61.6689,-36.6338,61.9114,-36.5924,64.4190,-37.3153,78.4317,-42.9873,-2.2320,0.9456,-1.9895,0.9871,0.5181,0.2641,25,0.1000,25,0,1.0000,0.0000,0.0000,3.1096,5.4783,0.4700,4.0253,4.4494,0.0000,1,0.1064,0.0569,2.5812,-0.0004,1.000,70.00,342.76
2.6900,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.2728,6.8113,1.5386,1.4325,0.3724,0.1515,0.0180,6.0000,4.3067,13.0853,3.1124,64.7403,64.0731,-37.5790,61.6689,-36.6338,61.9114,-36.5924,64.6143,-37.3029,78.0282,-42.2996,-2.4041,0.9452,-2.1616,0.9867,0.5412,0.2761,25,0.1100,25,0,1.0000,0.0000,0.0000,2.9456,5.3402,0.4337,4.0116,4.4617,0.0000,1,0.1064,0.0569,2.5812,-0.0004,1.000,70.00,342.76
2.7000,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.2813,6.8278,1.5465,1.4643,0.3724,0.1515,0.0173,6.0000,4.3067,14.7765,3.2667,63.1965,64.2352,-37.5620,61.6689,-36.6338,61.9114,-36.5924,64.7980,-37.2652,77.6279,-41.6049,-2.5663,0.9282,-2.3238,0.9696,0.5628,0.2967,25,0.1200,25,0,1.0000,0.0000,0.0000,2.7829,5.2037,0.3971,3.9978,4.4741,0.0000,1,0.1064,0.0569,2.5812,-0.0004,1.000,70.00,342.76
2.7100,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.2912,6.8470,1.5557,1.4973,0.3724,0.1515,0.0166,6.0000,4.3067,16.5242,3.4449,61.6016,64.3873,-37.5286,61.6689,-36.6338,61.9114,-36.5924,64.9702,-37.2028,77.2315,-40.9039,-2.7183,0.8948,-2.4758,0.9362,0.5829,0.3258,25,0.1300,25,0,1.0000,0.0000,0.0000,2.6217,5.0687,0.3603,3.9840,4.4864,0.0000,1,0.1064,0.0569,2.5812,-0.0004,1.000,70.00,342.76
2.7200,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.3025,6.8687,1.5662,1.5315,0.3724,0.1515,0.0160,6.0000,4.3067,18.3231,3.6493,59.9608,64.5292,-37.4791,61.6689,-36.6338,61.9114,-36.5924,65.1307,-37.1162,76.8394,-40.1978,-2.8603,0.8453,-2.6178,0.8868,0.6015,0.3629,25,0.1400,25,0,1.0000,0.0000,0.0000,2.4619,4.9351,0.3231,3.9701,4.4987,0.0000,1,0.1064,0.0569,2.5812,-0.0004,1.000,70.00,342.76
2.7300,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.3151,6.8930,1.5780,1.5668,0.3724,0.1515,0.0154,6.0000,4.3067,20.1683,3.8829,58.2789,64.6610,-37.4138,61.6689,-36.6338,61.9114,-36.5924,65.2796,-37.0058,76.4520,-39.4872,-2.9921,0.7800,-2.7496,0.8215,0.6185,0.4080,25,0.1500,25,0,1.0000,0.0000,0.0000,2.3034,4.8030,0.2856,3.9562,4.5110,0.0000,1,0.1064,0.0569,2.5812,-0.0004,1.000,70.00,342.76
2.7400,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.3290,6.3255,0.9965,1.1819,0.3644,0.1620,0.0068,6.0000,3.3701,12.1298,5.5848,56.5608,64.7827,-37.3330,63.9010,-37.5794,64.0051,-37.8119,65.4732,-38.0566,77.0271,-41.2834,-0.8817,-0.2465,-0.7776,-0.4790,0.6905,-0.7237,26,0.0600,26,0,1.0000,0.0000,0.0000,2.1462,4.6722,0.2479,3.9421,4.5232,0.0000,1,0.1064,0.0569,2.6796,-0.0004,1.000,70.00,342.76
2.7500,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.3441,6.3299,0.9858,1.2067,0.3644,0.1620,0.0062,6.0000,3.3701,14.2593,6.1103,54.6566,64.8942,-37.2369,63.9010,-37.5794,64.0051,-37.8119,65.6437,-38.0339,76.6392,-40.5596,-0.9933,-0.3426,-0.8892,-0.5751,0.7494,-0.7971,26,0.0700,26,0,1.0000,0.0000,0.0000,1.9902,4.5426,0.2098,3.9280,4.5355,0.0000,1,0.1064,0.0569,2.6796,-0.0004,1.000,70.00,342.76
2.7600,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.3606,6.3369,0.9763,1.2329,0.3644,0.1620,0.0057,6.0000,3.3701,16.4396,6.5702,52.7145,64.9958,-37.1258,63.9010,-37.5794,64.0051,-37.8119,65.8020,-37.9844,76.2524,-39.8262,-1.0948,-0.4536,-0.9907,-0.6861,0.8062,-0.8585,26,0.0800,26,0,1.0000,0.0000,0.0000,1.8354,4.4144,0.1715,3.9139,4.5477,0.0000,1,0.1064,0.0569,2.6796,-0.0004,1.000,70.00,342.76
2.7700,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.3783,6.3463,0.9680,1.2604,0.3644,0.1620,0.0052,6.0000,3.3701,18.6648,6.9648,50.7418,65.0873,-37.0002,63.9010,-37.5794,64.0051,-37.8119,65.9480,-37.9084,75.8676,-39.0844,-1.1864,-0.5792,-1.0823,-0.8117,0.8607,-0.9082,26,0.0900,26,0,1.0000,0.0000,0.0000,1.6818,4.2874,0.1328,3.8996,4.5599,0.0000,1,0.1064,0.0569,2.6796,-0.0004,1.000,70.00,342.76
2.7800,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.3973,6.3582,0.9608,1.2892,0.3644,0.1620,0.0047,6.0000,3.3701,20.9293,7.2950,48.7456,65.1691,-36.8603,63.9010,-37.5794,64.0051,-37.8119,66.0817,-37.8064,75.4855,-38.3353,-1.2681,-0.7191,-1.1640,-0.9516,0.9127,-0.9460,26,0.1000,26,0,1.0000,0.0000,0.0000,1.5294,4.1615,0.0939,3.8853,4.5721,0.0000,1,0.1064,0.0569,2.6796,-0.0004,1.000,70.00,342.76
2.7900,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.4176,6.3725,0.9549,1.3193,0.3644,0.1620,0.0042,6.0000,3.3701,23.2276,7.5624,46.7331,65.2411,-36.7065,63.9010,-37.5794,64.0051,-37.8119,66.2031,-37.6788,75.1065,-37.5798,-1.3401,-0.8729,-1.2360,-1.1054,0.9621,-0.9723,26,0.1100,26,0,1.0000,0.0000,0.0000,1.3781,4.0368,0.0546,3.8710,4.5843,0.0000,1,0.1071,0.0544,2.6796,0.0004,1.000,70.00,342.76
2.8000,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.4391,6.3892,0.9501,1.3506,0.3644,0.1620,0.0038,6.0000,3.3701,25.5542,7.7689,44.7121,65.3035,-36.5391,63.9010,-37.5794,64.0051,-37.8119,66.3122,-37.5261,74.7311,-36.8189,-1.4025,-1.0403,-1.2984,-1.2729,1.0088,-0.9870,26,0.1200,26,0,1.0000,0.0000,0.0000,1.2278,3.9132,0.0151,3.8565,4.5964,0.0000,1,0.1071,0.0544,2.6796,0.0004,1.000,70.00,342.76
2.8100,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.4619,6.4083,0.9464,1.3830,0.3644,0.1620,0.0033,6.0000,3.3701,27.9041,7.9173,42.6902,65.3565,-36.3584,63.9010,-37.5794,64.0051,-37.8119,66.4092,-37.3488,74.3599,-36.0537,-1.4555,-1.2210,-1.3514,-1.4535,1.0527,-0.9903,26,0.1300,26,0,1.0000,0.0000,0.0000,1.0786,3.7907,-0.0249,3.8420,4.6086,0.0000,1,0.1071,0.0544,2.6796,0.0004,1.000,70.00,342.76
2.8200,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.4859,6.4298,0.9439,1.4166,0.3644,0.1620,0.0029,6.0000,3.3701,30.2722,8.0105,40.6754,65.4003,-36.1649,63.9010,-37.5794,64.0051,-37.8119,66.4941,-37.1475,73.9930,-35.2851,-1.4994,-1.4145,-1.3953,-1.6470,1.0938,-0.9826,26,0.1400,26,0,1.0000,0.0000,0.0000,0.9304,3.6691,-0.0651,3.8275,4.6207,0.0000,1,0.1071,0.0544,2.6796,0.0004,1.000,70.00,342.76
2.8300,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.5112,6.4537,0.9425,1.4513,0.3644,0.1620,0.0025,6.0000,3.3701,32.6537,8.0522,38.6764,65.4351,-35.9589,63.9010,-37.5794,64.0051,-37.8119,66.5672,-36.9227,73.6309,-34.5138,-1.5341,-1.6205,-1.4301,-1.8531,1.1321,-0.9639,26,0.1500,26,0,1.0000,0.0000,0.0000,0.7832,3.5486,-0.1057,3.8128,4.6327,0.0000,1,0.1071,0.0544,2.6796,0.0004,1.000,70.00,342.76
2.8400,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.5377,6.4799,0.9422,1.4870,0.3644,0.1620,0.0022,6.0000,3.3701,35.0440,8.0466,36.7020,65.4611,-35.7407,63.9010,-37.5794,64.0051,-37.8119,66.6287,-36.6751,73.2739,-33.7409,-1.5601,-1.8387,-1.4560,-2.0712,1.1676,-0.9344,26,0.1600,26,0,1.0000,0.0000,0.0000,0.6369,3.4290,-0.1467,3.7981,4.6448,0.0000,1,0.1071,0.0544,2.6796,0.0004,1.000,70.00,342.76
2.8500,UKF,smooth,0.500,10.00,0.050,1,0.600,1,5.5654,5.7997,0.2343,1.1048,0.3578,0.1686,0.0048,6.0000,3.6897,15.1396,3.0921,34.7620,65.4785,-35.5108,65.2411,-36.7065,65.3547,-36.8290,66.0790,-35.3579,70.0648,-25.3374,-0.2374,-1.1957,-0.1238,-1.3183,0.6005,0.1529,27,0.0600,27,0,1.0000,0.0000,0.0000,0.4916,3.3103,-0.1881,3.7834,4.6568,0.0000,1,0.1071,0.0544,2.7904,0.0004,1.000,70.00,342.76
