t_s,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,predict_on,true_range_m,est_range_m,range_err_m,range_sigma_m,est_size_w_m,est_size_h_m,size_err_m,true_speed_mps,est_speed_mps,held_err_px,est_err_px,track_err_px,origin_hdg,origin_att,delayed_hdg,delayed_att,jittered_hdg,jittered_att,est_hdg,est_att,pred_hdg,pred_att,err_delayed_hdg,err_delayed_att,err_jittered_hdg,err_jittered_att,err_est_hdg,err_est_att,detect_count,detect_age_s,tracker_updates,tracker_rejects,imm_p0,imm_p1,imm_p2,chaser_vx,chaser_vy,chaser_vz,target_vx,target_vy,target_vz
0.0100,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.4193,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.5717,-11.7368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0666,0.1666,-0.0147,5.5437,2.2950,0.0000
0.0200,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.4549,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.7056,-11.7142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1329,0.3314,-0.0292,5.5158,2.3614,0.0000
0.0300,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.4894,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.8374,-11.6919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1987,0.4944,-0.0435,5.4870,2.4274,0.0000
0.0400,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.5227,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.9668,-11.6699,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.2641,0.6558,-0.0576,5.4575,2.4931,0.0000
0.0500,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.5550,nan,nan,nan,nan,nan,nan,6.0000,nan,3.9326,3.9326,3.9518,19.0941,-11.6483,18.4354,-11.7598,18.4572,-11.8564,18.4572,-11.8564,18.4572,-11.8564,-0.6587,-0.1116,-0.6369,-0.2082,-0.6369,-0.2082,1,0.0500,1,0,0.0000,0.0000,0.0000,0.3290,0.8154,-0.0715,5.4272,2.5584,0.0000
0.0600,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.5862,nan,nan,nan,nan,nan,nan,6.0000,nan,4.6689,4.6689,4.6935,19.2191,-11.6270,18.4354,-11.7598,18.4572,-11.8564,18.4579,-11.8585,18.4579,-11.8585,-0.7837,-0.1329,-0.7619,-0.2295,-0.7612,-0.2315,1,0.0600,1,0,0.0000,0.0000,0.0000,0.3936,0.9733,-0.0852,5.3961,2.6233,0.0000
0.0700,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.6163,nan,nan,nan,nan,nan,nan,6.0000,nan,5.3938,5.3938,5.4223,19.3419,-11.6060,18.4354,-11.7598,18.4572,-11.8564,18.4585,-11.8605,18.4585,-11.8605,-0.9065,-0.1539,-0.8847,-0.2505,-0.8834,-0.2545,1,0.0700,1,0,0.0000,0.0000,0.0000,0.4577,1.1296,-0.0987,5.3643,2.6879,0.0000
0.0800,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.6452,nan,nan,nan,nan,nan,nan,6.0000,nan,6.1069,6.1069,6.1382,19.4625,-11.5853,18.4354,-11.7598,18.4572,-11.8564,18.4592,-11.8625,18.4592,-11.8625,-1.0271,-0.1745,-1.0053,-0.2711,-1.0033,-0.2772,1,0.0800,1,0,0.0000,0.0000,0.0000,0.5213,1.2843,-0.1120,5.3316,2.7521,0.0000
0.0900,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.6731,nan,nan,nan,nan,nan,nan,6.0000,nan,6.8077,6.8077,6.8412,19.5809,-11.5650,18.4354,-11.7598,18.4572,-11.8564,18.4599,-11.8645,18.4599,-11.8645,-1.1455,-0.1949,-1.1237,-0.2915,-1.1211,-0.2996,1,0.0900,1,0,0.0000,0.0000,0.0000,0.5846,1.4373,-0.1250,5.2982,2.8158,0.0000
0.1000,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.7000,nan,nan,nan,nan,nan,nan,6.0000,nan,7.4962,7.4962,7.5315,19.6972,-11.5449,18.4354,-11.7598,18.4572,-11.8564,18.4606,-11.8665,18.4606,-11.8665,-1.2618,-0.2149,-1.2400,-0.3115,-1.2366,-0.3216,1,0.1000,1,0,0.0000,0.0000,0.0000,0.6474,1.5887,-0.1379,5.2640,2.8792,0.0000
0.1100,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.7257,nan,nan,nan,nan,nan,nan,6.0000,nan,8.1723,8.1723,8.2090,19.8112,-11.5252,18.4354,-11.7598,18.4572,-11.8564,18.4612,-11.8686,18.4612,-11.8686,-1.3758,-0.2346,-1.3540,-0.3312,-1.3500,-0.3433,1,0.1100,1,0,0.0000,0.0000,0.0000,0.7097,1.7386,-0.1506,5.2291,2.9422,0.0000
0.1200,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.7504,nan,nan,nan,nan,nan,nan,6.0000,nan,8.8359,8.8359,8.8738,19.9231,-11.5058,18.4354,-11.7598,18.4572,-11.8564,18.4619,-11.8706,18.4619,-11.8706,-1.4877,-0.2540,-1.4659,-0.3506,-1.4612,-0.3648,1,0.1200,1,0,0.0000,0.0000,0.0000,0.7716,1.8868,-0.1631,5.1934,3.0047,0.0000
0.1300,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.7741,nan,nan,nan,nan,nan,nan,6.0000,nan,9.4870,9.4870,9.5259,20.0329,-11.4868,18.4354,-11.7598,18.4572,-11.8564,18.4626,-11.8726,18.4626,-11.8726,-1.5975,-0.2731,-1.5757,-0.3697,-1.5703,-0.3859,1,0.1300,1,0,0.0000,0.0000,0.0000,0.8331,2.0336,-0.1754,5.1570,3.0668,0.0000
0.1400,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.7967,nan,nan,nan,nan,nan,nan,6.0000,nan,10.1257,10.1257,10.1654,20.1405,-11.4680,18.4354,-11.7598,18.4572,-11.8564,18.4632,-11.8746,18.4632,-11.8746,-1.7051,-0.2918,-1.6832,-0.3884,-1.6772,-0.4067,1,0.1400,1,0,0.0000,0.0000,0.0000,0.8941,2.1787,-0.1876,5.1198,3.1285,0.0000
0.1500,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.8182,nan,nan,nan,nan,nan,nan,6.0000,nan,3.4162,0.5089,10.7923,20.2459,-11.4495,19.6972,-11.5449,19.6674,-11.5291,20.2728,-11.3687,26.2097,-9.6135,-0.5487,-0.0954,-0.5785,-0.0796,0.0269,0.0808,2,0.0500,2,0,0.0000,0.0000,0.0000,0.9547,2.3224,-0.1995,5.0819,3.1897,0.0000
0.1600,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.8387,nan,nan,nan,nan,nan,nan,6.0000,nan,3.7014,0.8774,11.0765,20.3492,-11.4314,19.6972,-11.5449,19.6674,-11.5291,20.4480,-11.3214,26.3812,-9.5648,-0.6520,-0.1136,-0.6818,-0.0977,0.0988,0.1099,2,0.0600,2,0,0.0000,0.0000,0.0000,1.0148,2.4646,-0.2113,5.0433,3.2504,0.0000
0.1700,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.8582,nan,nan,nan,nan,nan,nan,6.0000,nan,3.9521,1.3341,11.3262,20.4504,-11.4135,19.6972,-11.5449,19.6674,-11.5291,20.6268,-11.2731,26.5561,-9.5151,-0.7532,-0.1314,-0.7830,-0.1156,0.1764,0.1404,2,0.0700,2,0,0.0000,0.0000,0.0000,1.0745,2.6053,-0.2228,5.0039,3.3107,0.0000
0.1800,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.8766,nan,nan,nan,nan,nan,nan,6.0000,nan,4.1685,1.8412,11.5415,20.5494,-11.3960,19.6972,-11.5449,19.6674,-11.5291,20.8091,-11.2237,26.7346,-9.4644,-0.8522,-0.1490,-0.8820,-0.1331,0.2597,0.1722,2,0.0800,2,0,0.0000,0.0000,0.0000,1.1338,2.7445,-0.2342,4.9638,3.3705,0.0000
0.1900,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.8940,nan,nan,nan,nan,nan,nan,6.0000,nan,4.3505,2.3890,11.7223,20.6463,-11.3787,19.6972,-11.5449,19.6674,-11.5291,20.9949,-11.1733,26.9165,-9.4127,-0.9492,-0.1662,-0.9789,-0.1504,0.3486,0.2054,2,0.0900,2,0,0.0000,0.0000,0.0000,1.1925,2.8823,-0.2455,4.9230,3.4299,0.0000
0.2000,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.9104,nan,nan,nan,nan,nan,nan,6.0000,nan,4.4999,2.9730,11.8703,20.7414,-11.3618,19.6972,-11.5449,19.6674,-11.5291,21.1843,-11.1219,27.1020,-9.3599,-1.0442,-0.1832,-1.0740,-0.1673,0.4429,0.2399,2,0.1000,2,0,0.0000,0.0000,0.0000,1.2508,3.0187,-0.2565,4.8815,3.4887,0.0000
0.2100,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.9257,nan,nan,nan,nan,nan,nan,6.0000,nan,4.6153,3.5929,11.9841,20.8344,-11.3451,19.6972,-11.5449,19.6674,-11.5291,21.3773,-11.0694,27.2909,-9.3062,-1.1372,-0.1998,-1.1670,-0.1840,0.5429,0.2757,2,0.1100,2,0,0.0000,0.0000,0.0000,1.3087,3.1536,-0.2674,4.8393,3.5470,0.0000
0.2200,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.9401,nan,nan,nan,nan,nan,nan,6.0000,nan,4.6947,4.2499,12.0618,20.9250,-11.3288,19.6972,-11.5449,19.6674,-11.5291,21.5738,-11.0158,27.4833,-9.2515,-1.2278,-0.2162,-1.2576,-0.2003,0.6488,0.3129,2,0.1200,2,0,0.0000,0.0000,0.0000,1.3661,3.2872,-0.2781,4.7964,3.6048,0.0000
0.2300,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.9534,nan,nan,nan,nan,nan,nan,6.0000,nan,4.7401,4.9417,12.1053,21.0135,-11.3127,19.6972,-11.5449,19.6674,-11.5291,21.7738,-10.9613,27.6791,-9.1958,-1.3163,-0.2323,-1.3461,-0.2164,0.7603,0.3514,2,0.1300,2,0,0.0000,0.0000,0.0000,1.4230,3.4193,-0.2886,4.7528,3.6621,0.0000
0.2400,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.9658,nan,nan,nan,nan,nan,nan,6.0000,nan,4.7516,5.6682,12.1146,21.0999,-11.2969,19.6972,-11.5449,19.6674,-11.5291,21.9773,-10.9057,27.8785,-9.1391,-1.4027,-0.2481,-1.4324,-0.2322,0.8775,0.3912,2,0.1400,2,0,0.0000,0.0000,0.0000,1.4795,3.5501,-0.2990,4.7085,3.7189,0.0000
0.2500,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.9771,nan,nan,nan,nan,nan,nan,6.0000,nan,0.3379,3.3086,12.0896,21.1841,-11.2813,20.7414,-11.3618,20.8121,-11.3328,21.7204,-11.1133,26.7366,-9.8856,-0.4427,-0.0804,-0.3721,-0.0515,0.5362,0.1680,3,0.0500,3,0,0.0000,0.0000,0.0000,1.5355,3.6796,-0.3091,4.6635,3.7751,0.0000
0.2600,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.9874,nan,nan,nan,nan,nan,nan,6.0000,nan,0.3240,3.8915,12.1195,21.2663,-11.2661,20.7414,-11.3618,20.8121,-11.3328,21.8987,-11.0741,26.9123,-9.8453,-0.5249,-0.0957,-0.4543,-0.0667,0.6324,0.1920,3,0.0600,3,0,0.0000,0.0000,0.0000,1.5910,3.8077,-0.3192,4.6179,3.8308,0.0000
0.2700,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.9968,nan,nan,nan,nan,nan,nan,6.0000,nan,0.3294,4.5053,12.1187,21.3464,-11.2512,20.7414,-11.3618,20.8121,-11.3328,22.0801,-11.0342,27.0910,-9.8044,-0.6050,-0.1106,-0.5344,-0.0816,0.7336,0.2169,3,0.0700,3,0,0.0000,0.0000,0.0000,1.6461,3.9345,-0.3290,4.5716,3.8859,0.0000
0.2800,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0051,nan,nan,nan,nan,nan,nan,6.0000,nan,0.3537,5.1498,12.0872,21.4245,-11.2365,20.7414,-11.3618,20.8121,-11.3328,22.2644,-10.9936,27.2727,-9.7628,-0.6830,-0.1252,-0.6124,-0.0963,0.8400,0.2429,3,0.0800,3,0,0.0000,0.0000,0.0000,1.7007,4.0601,-0.3387,4.5246,3.9405,0.0000
0.2900,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0125,nan,nan,nan,nan,nan,nan,6.0000,nan,0.4006,5.8251,12.0250,21.5004,-11.2222,20.7414,-11.3618,20.8121,-11.3328,22.4518,-10.9523,27.4573,-9.7204,-0.7590,-0.1396,-0.6883,-0.1106,0.9514,0.2699,3,0.0900,3,0,0.0000,0.0000,0.0000,1.7549,4.1843,-0.3483,4.4770,3.9945,0.0000
0.3000,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0188,nan,nan,nan,nan,nan,nan,6.0000,nan,0.4755,6.5311,11.9321,21.5742,-11.2082,20.7414,-11.3618,20.8121,-11.3328,22.6421,-10.9102,27.6449,-9.6774,-0.8328,-0.1536,-0.7622,-0.1246,1.0679,0.2980,3,0.1000,3,0,0.0000,0.0000,0.0000,1.8085,4.3073,-0.3576,4.4288,4.0480,0.0000
0.3100,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0242,nan,nan,nan,nan,nan,nan,6.0000,nan,0.5824,7.2678,11.8086,21.6460,-11.1944,20.7414,-11.3618,20.8121,-11.3328,22.8355,-10.8674,27.8355,-9.6337,-0.9046,-0.1673,-0.8339,-0.1384,1.1894,0.3270,3,0.1100,3,0,0.0000,0.0000,0.0000,1.8617,4.4290,-0.3669,4.3799,4.1008,0.0000
0.3200,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0286,nan,nan,nan,nan,nan,nan,6.0000,nan,0.7228,8.0352,11.6543,21.7157,-11.1810,20.7414,-11.3618,20.8121,-11.3328,23.0318,-10.8239,28.0290,-9.5893,-0.9743,-0.1808,-0.9036,-0.1518,1.3161,0.3571,3,0.1200,3,0,0.0000,0.0000,0.0000,1.9144,4.5495,-0.3759,4.3303,4.1531,0.0000
0.3300,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0321,nan,nan,nan,nan,nan,nan,6.0000,nan,0.8968,8.8332,11.4695,21.7833,-11.1679,20.7414,-11.3618,20.8121,-11.3328,23.2311,-10.7797,28.2254,-9.5442,-1.0419,-0.1939,-0.9712,-0.1649,1.4478,0.3881,3,0.1300,3,0,0.0000,0.0000,0.0000,1.9667,4.6687,-0.3848,4.2802,4.2047,0.0000
0.3400,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0345,nan,nan,nan,nan,nan,nan,6.0000,nan,1.1039,9.6619,11.2540,21.8488,-11.1551,20.7414,-11.3618,20.8121,-11.3328,23.4334,-10.7348,28.4248,-9.4984,-1.1074,-0.2067,-1.0368,-0.1778,1.5845,0.4202,3,0.1400,3,0,0.0000,0.0000,0.0000,2.0184,4.7868,-0.3936,4.2294,4.2558,0.0000
0.3500,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0360,nan,nan,nan,nan,nan,nan,6.0000,nan,1.2782,2.7667,11.0079,21.9123,-11.1425,21.5742,-11.2082,21.6359,-11.2749,22.3831,-11.1463,24.9301,-10.8546,-0.3381,-0.0657,-0.2764,-0.1324,0.4708,-0.0038,4,0.0500,4,0,0.0000,0.0000,0.0000,2.0697,4.9036,-0.4022,4.1781,4.3063,0.0000
0.3600,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0365,nan,nan,nan,nan,nan,nan,6.0000,nan,1.3291,3.1155,10.9637,21.9737,-11.1303,21.5742,-11.2082,21.6359,-11.2749,22.5038,-11.1318,25.0504,-10.8398,-0.3995,-0.0779,-0.3378,-0.1446,0.5301,-0.0015,4,0.0600,4,0,0.0000,0.0000,0.0000,2.1205,5.0193,-0.4107,4.1261,4.3561,0.0000
0.3700,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0361,nan,nan,nan,nan,nan,nan,6.0000,nan,1.4006,3.4857,10.8982,22.0330,-11.1184,21.5742,-11.2082,21.6359,-11.2749,22.6260,-11.1172,25.1722,-10.8248,-0.4588,-0.0898,-0.3971,-0.1565,0.5930,0.0012,4,0.0700,4,0,0.0000,0.0000,0.0000,2.1709,5.1338,-0.4190,4.0735,4.4053,0.0000
0.3800,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0347,nan,nan,nan,nan,nan,nan,6.0000,nan,1.4926,3.8770,10.8115,22.0903,-11.1068,21.5742,-11.2082,21.6359,-11.2749,22.7498,-11.1024,25.2955,-10.8096,-0.5160,-0.1014,-0.4543,-0.1681,0.6595,0.0044,4,0.0800,4,0,0.0000,0.0000,0.0000,2.2207,5.2472,-0.4272,4.0204,4.4538,0.0000
0.3900,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0323,nan,nan,nan,nan,nan,nan,6.0000,nan,1.6050,4.2897,10.7035,22.1454,-11.0955,21.5742,-11.2082,21.6359,-11.2749,22.8751,-11.0874,25.4203,-10.7943,-0.5712,-0.1127,-0.5095,-0.1794,0.7297,0.0080,4,0.0900,4,0,0.0000,0.0000,0.0000,2.2701,5.3594,-0.4352,3.9666,4.5018,0.0000
0.4000,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0290,nan,nan,nan,nan,nan,nan,6.0000,nan,1.7380,4.7237,10.5742,22.1985,-11.0845,21.5742,-11.2082,21.6359,-11.2749,23.0019,-11.0723,25.5467,-10.7788,-0.6243,-0.1237,-0.5626,-0.1904,0.8034,0.0121,4,0.1000,4,0,0.0000,0.0000,0.0000,2.3190,5.4705,-0.4431,3.9123,4.5490,0.0000
0.4100,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0247,nan,nan,nan,nan,nan,nan,6.0000,nan,1.8916,5.1790,10.4237,22.2495,-11.0738,21.5742,-11.2082,21.6359,-11.2749,23.1302,-11.0570,25.6745,-10.7632,-0.6753,-0.1344,-0.6136,-0.2011,0.8807,0.0167,4,0.1100,4,0,0.0000,0.0000,0.0000,2.3674,5.5805,-0.4508,3.8575,4.5957,0.0000
0.4200,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0195,nan,nan,nan,nan,nan,nan,6.0000,nan,2.0660,5.6556,10.2520,22.2985,-11.0634,21.5742,-11.2082,21.6359,-11.2749,23.2601,-11.0416,25.8039,-10.7474,-0.7243,-0.1448,-0.6626,-0.2115,0.9616,0.0218,4,0.1200,4,0,0.0000,0.0000,0.0000,2.4153,5.6894,-0.4584,3.8020,4.6416,0.0000
0.4300,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0133,nan,nan,nan,nan,nan,nan,6.0000,nan,2.2612,6.1535,10.0591,22.3454,-11.0533,21.5742,-11.2082,21.6359,-11.2749,23.3915,-11.0260,25.9348,-10.7314,-0.7711,-0.1548,-0.7094,-0.2216,1.0461,0.0274,4,0.1300,4,0,0.0000,0.0000,0.0000,2.4627,5.7972,-0.4659,3.7461,4.6869,0.0000
0.4400,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,20.0061,nan,nan,nan,nan,nan,nan,6.0000,nan,2.4774,6.6727,9.8450,22.3902,-11.0436,21.5742,-11.2082,21.6359,-11.2749,23.5244,-11.0102,26.0672,-10.7153,-0.8159,-0.1646,-0.7542,-0.2313,1.1342,0.0334,4,0.1400,4,0,0.0000,0.0000,0.0000,2.5097,5.9040,-0.4732,3.6895,4.7315,0.0000
0.4500,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.9980,nan,nan,nan,nan,nan,nan,6.0000,nan,1.4536,1.8821,9.6097,22.4329,-11.0342,22.1985,-11.0845,22.2769,-11.1116,22.7530,-11.0437,23.4957,-10.8610,-0.2344,-0.0503,-0.1560,-0.0774,0.3201,-0.0096,5,0.0500,5,0,0.0000,0.0000,0.0000,2.5561,6.0097,-0.4804,3.6325,4.7754,0.0000
0.4600,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.9890,nan,nan,nan,nan,nan,nan,6.0000,nan,1.5534,2.0693,9.5114,22.4736,-11.0250,22.1985,-11.0845,22.2769,-11.1116,22.8256,-11.0310,23.5682,-10.8482,-0.2750,-0.0594,-0.1967,-0.0865,0.3520,-0.0059,5,0.0600,5,0,0.0000,0.0000,0.0000,2.6021,6.1143,-0.4874,3.5749,4.8187,0.0000
0.4700,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.9790,nan,nan,nan,nan,nan,nan,6.0000,nan,1.6677,2.2717,9.3980,22.5121,-11.0162,22.1985,-11.0845,22.2769,-11.1116,22.8986,-11.0181,23.6412,-10.8353,-0.3136,-0.0682,-0.2353,-0.0953,0.3865,-0.0019,5,0.0700,5,0,0.0000,0.0000,0.0000,2.6475,6.2180,-0.4944,3.5169,4.8612,0.0000
0.4800,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.9681,nan,nan,nan,nan,nan,nan,6.0000,nan,1.7967,2.4892,9.2697,22.5486,-11.0078,22.1985,-11.0845,22.2769,-11.1116,22.9721,-11.0051,23.7146,-10.8223,-0.3501,-0.0767,-0.2718,-0.1038,0.4235,0.0026,5,0.0800,5,0,0.0000,0.0000,0.0000,2.6925,6.3206,-0.5012,3.4583,4.9031,0.0000
0.4900,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.9562,nan,nan,nan,nan,nan,nan,6.0000,nan,1.9405,2.7218,9.1264,22.5831,-10.9996,22.1985,-11.0845,22.2769,-11.1116,23.0461,-10.9920,23.7885,-10.8092,-0.3845,-0.0848,-0.3062,-0.1119,0.4630,0.0076,5,0.0900,5,0,0.0000,0.0000,0.0000,2.7370,6.4222,-0.5078,3.3992,4.9442,0.0000
0.5000,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.9434,nan,nan,nan,nan,nan,nan,6.0000,nan,2.0976,2.9682,8.9695,22.6157,-10.9918,22.1985,-11.0845,22.2769,-11.1116,23.1204,-10.9789,23.8628,-10.7960,-0.4171,-0.0927,-0.3388,-0.1198,0.5048,0.0130,5,0.1000,5,0,0.0000,0.0000,0.0000,2.7810,6.5228,-0.5144,3.3396,4.9847,0.0000
0.5100,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.9296,nan,nan,nan,nan,nan,nan,6.0000,nan,2.2695,3.2296,8.7977,22.6462,-10.9843,22.1985,-11.0845,22.2769,-11.1116,23.1953,-10.9656,23.9376,-10.7827,-0.4477,-0.1002,-0.3693,-0.1273,0.5491,0.0188,5,0.1100,5,0,0.0000,0.0000,0.0000,2.8245,6.6225,-0.5208,3.2796,5.0244,0.0000
0.5200,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.9150,nan,nan,nan,nan,nan,nan,6.0000,nan,2.4580,3.5078,8.6093,22.6743,-10.9771,22.1985,-11.0845,22.2769,-11.1116,23.2705,-10.9521,24.0128,-10.7692,-0.4758,-0.1073,-0.3975,-0.1344,0.5962,0.0250,5,0.1200,5,0,0.0000,0.0000,0.0000,2.8675,6.7211,-0.5271,3.2190,5.0634,0.0000
0.5300,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.8993,nan,nan,nan,nan,nan,nan,6.0000,nan,2.6615,3.8011,8.4060,22.7004,-10.9703,22.1985,-11.0845,22.2769,-11.1116,23.3462,-10.9386,24.0884,-10.7557,-0.5019,-0.1142,-0.4235,-0.1413,0.6458,0.0316,5,0.1300,5,0,0.0000,0.0000,0.0000,2.9100,6.8188,-0.5332,3.1580,5.1016,0.0000
0.5400,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.8828,nan,nan,nan,nan,nan,nan,6.0000,nan,2.8800,4.1096,8.1877,22.7244,-10.9637,22.1985,-11.0845,22.2769,-11.1116,23.4224,-10.9250,24.1645,-10.7421,-0.5259,-0.1208,-0.4475,-0.1479,0.6980,0.0387,5,0.1400,5,0,0.0000,0.0000,0.0000,2.9520,6.9156,-0.5392,3.0966,5.1392,0.0000
0.5500,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.8653,nan,nan,nan,nan,nan,nan,6.0000,nan,1.2132,1.0193,7.9544,22.7463,-10.9575,22.6157,-10.9918,22.6219,-11.1064,22.8759,-11.0708,22.3725,-11.2074,-0.1307,-0.0343,-0.1245,-0.1490,0.1295,-0.1133,6,0.0500,6,0,0.0000,0.0000,0.0000,2.9935,7.0115,-0.5452,3.0347,5.1760,0.0000
0.5600,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.8468,nan,nan,nan,nan,nan,nan,6.0000,nan,1.3370,1.0920,7.8195,22.7661,-10.9516,22.6157,-10.9918,22.6219,-11.1064,22.9093,-11.0680,22.4059,-11.2046,-0.1505,-0.0402,-0.1443,-0.1548,0.1431,-0.1164,6,0.0600,6,0,0.0000,0.0000,0.0000,3.0346,7.1064,-0.5509,2.9724,5.2120,0.0000
0.5700,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.8275,nan,nan,nan,nan,nan,nan,6.0000,nan,1.4725,1.1734,7.6742,22.7838,-10.9461,22.6157,-10.9918,22.6219,-11.1064,22.9424,-11.0653,22.4390,-11.2019,-0.1682,-0.0458,-0.1620,-0.1604,0.1585,-0.1193,6,0.0700,6,0,0.0000,0.0000,0.0000,3.0751,7.2004,-0.5566,2.9096,5.2473,0.0000
0.5800,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.8072,nan,nan,nan,nan,nan,nan,6.0000,nan,1.6198,1.2639,7.5184,22.7995,-10.9409,22.6157,-10.9918,22.6219,-11.1064,22.9752,-11.0627,22.4718,-11.1993,-0.1838,-0.0509,-0.1776,-0.1656,0.1757,-0.1218,6,0.0800,6,0,0.0000,0.0000,0.0000,3.1151,7.2936,-0.5622,2.8464,5.2818,0.0000
0.5900,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.7859,nan,nan,nan,nan,nan,nan,6.0000,nan,1.7787,1.3640,7.3522,22.8130,-10.9360,22.6157,-10.9918,22.6219,-11.1064,23.0077,-11.0602,22.5043,-11.1967,-0.1973,-0.0558,-0.1911,-0.1704,0.1947,-0.1241,6,0.0900,6,0,0.0000,0.0000,0.0000,3.1546,7.3858,-0.5676,2.7829,5.3156,0.0000
0.6000,CV-pixel,jink,0.500,10.00,0.050,1,0.600,1,19.7638,nan,nan,nan,nan,nan,nan,6.0000,nan,1.9492,1.4742,7.1755,22.8244,-10.9316,22.6157,-10.9918,22.6219,-11.1064,23.0399,-11.0577,22.5365,-11.1943,-0.2087,-0.0602,-0.2025,-0.1749,0.2155,-0.1261,6,0.1000,6,0,0.0000,0.0000,0.0000,3.1936,7.4772,-0.5729,2.7189,5.3486,0.0000
