t_s,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,predict_on,true_range_m,est_range_m,range_err_m,range_sigma_m,est_size_w_m,est_size_h_m,size_err_m,true_speed_mps,est_speed_mps,held_err_px,est_err_px,track_err_px,origin_hdg,origin_att,delayed_hdg,delayed_att,jittered_hdg,jittered_att,est_hdg,est_att,pred_hdg,pred_att,err_delayed_hdg,err_delayed_att,err_jittered_hdg,err_jittered_att,err_est_hdg,err_est_att,detect_count,detect_age_s,tracker_updates,tracker_rejects,imm_p0,imm_p1,imm_p2,chaser_vx,chaser_vy,chaser_vz,target_vx,target_vy,target_vz,timing_on,period_s,pkt_latency_s,meas_stamp_s,stamp_err_s
0.0100,UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.7695,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,14.8203,-8.6072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0644,0.2146,-0.0209,5.8209,1.4552,0.0000,1,0.0830,0.0563,0.0000,-0.0019
0.0200,UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.7937,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,14.8966,-8.6014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1284,0.4269,-0.0416,5.8208,1.4553,0.0000,1,0.0830,0.0563,0.0000,-0.0019
0.0300,UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.8158,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,14.9727,-8.5957,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1920,0.6371,-0.0620,5.8208,1.4555,0.0000,1,0.0830,0.0563,0.0000,-0.0019
0.0400,UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.8358,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,15.0486,-8.5901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.2553,0.8450,-0.0822,5.8207,1.4557,0.0000,1,0.0830,0.0563,0.0000,-0.0019
0.0500,UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.8536,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,15.1243,-8.5848,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.3182,1.0508,-0.1022,5.8207,1.4560,0.0000,1,0.0830,0.0563,0.0000,-0.0019
0.0600,UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.8695,38.4630,-1.4065,19.2867,0.3600,0.2249,0.0078,6.0000,0.0000,0.7253,17.6669,0.0683,15.1999,-8.5796,14.7438,-5.7459,14.6386,-5.6822,14.6338,-5.6829,14.5946,-5.6892,-0.4561,2.8337,-0.5613,2.8974,-0.5661,2.8967,1,0.0600,1,0,1.0000,0.0000,0.0000,0.3808,1.2545,-0.1220,5.8205,1.4564,0.0000,1,0.0830,0.0563,-0.0019,-0.0019
0.0700,UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.8832,38.4346,-1.4486,19.2918,0.3600,0.2249,0.0079,6.0000,0.0000,0.7253,17.7289,0.0683,15.2753,-8.5745,14.7438,-5.7459,14.6386,-5.6822,14.6321,-5.6832,14.5856,-5.6906,-0.5315,2.8286,-0.6367,2.8924,-0.6432,2.8913,1,0.0700,1,0,1.0000,0.0000,0.0000,0.4430,1.4561,-0.1416,5.8204,1.4569,0.0000,1,0.0830,0.0563,-0.0019,-0.0019
0.0800,UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.8950,38.4022,-1.4928,19.2976,0.3600,0.2249,0.0080,6.0000,0.0000,0.7253,17.8035,0.0682,15.3505,-8.5697,14.7438,-5.7459,14.6386,-5.6822,14.6300,-5.6835,14.5760,-5.6920,-0.6067,2.8238,-0.7119,2.8875,-0.7205,2.8861,1,0.0800,1,0,1.0000,0.0000,0.0000,0.5049,1.6555,-0.1609,5.8203,1.4575,0.0000,1,0.0830,0.0563,-0.0019,-0.0019
0.0900,UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.9047,38.3658,-1.5390,19.3042,0.3600,0.2249,0.0081,6.0000,0.0000,0.7253,17.8905,0.0682,15.4256,-8.5649,14.7438,-5.7459,14.6386,-5.6822,14.6276,-5.6839,14.5659,-5.6935,-0.6818,2.8190,-0.7870,2.8828,-0.7980,2.8811,1,0.0900,1,0,1.0000,0.0000,0.0000,0.5664,1.8529,-0.1801,5.8201,1.4581,0.0000,1,0.0807,0.0471,-0.0019,-0.0010
0.1000,UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.9125,38.3254,-1.5871,19.3116,0.3600,0.2249,0.0082,6.0000,0.0000,0.7253,17.9899,0.0682,15.5005,-8.5604,14.7438,-5.7459,14.6386,-5.6822,14.6249,-5.6843,14.5552,-5.6950,-0.7568,2.8145,-0.8619,2.8782,-0.8757,2.8761,1,0.1000,1,0,1.0000,0.0000,0.0000,0.6276,2.0482,-0.1990,5.8199,1.4589,0.0000,1,0.0807,0.0471,-0.0019,-0.0010
