t_s,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,predict_on,true_range_m,est_range_m,range_err_m,range_sigma_m,est_size_w_m,est_size_h_m,size_err_m,true_speed_mps,est_speed_mps,held_err_px,est_err_px,track_err_px,origin_hdg,origin_att,delayed_hdg,delayed_att,jittered_hdg,jittered_att,est_hdg,est_att,pred_hdg,pred_att,err_delayed_hdg,err_delayed_att,err_jittered_hdg,err_jittered_att,err_est_hdg,err_est_att,detect_count,detect_age_s,tracker_updates,tracker_rejects,imm_p0,imm_p1,imm_p2,chaser_vx,chaser_vy,chaser_vz,target_vx,target_vy,target_vz,timing_on,period_s,pkt_latency_s,meas_stamp_s,stamp_err_s
0.0100,UKF-LOS,jink,0.500,10.00,0.150,1,0.600,1,19.4193,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.5716,-11.7368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0666,0.1666,-0.0147,5.5437,2.2950,0.0000,1,0.0886,0.1453,0.0000,-0.0020
0.0200,UKF-LOS,jink,0.500,10.00,0.150,1,0.600,1,19.4549,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.7056,-11.7142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1329,0.3314,-0.0292,5.5158,2.3614,0.0000,1,0.0886,0.1453,0.0000,-0.0020
0.0300,UKF-LOS,jink,0.500,10.00,0.150,1,0.600,1,19.4894,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.8373,-11.6919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1987,0.4944,-0.0435,5.4870,2.4274,0.0000,1,0.0886,0.1453,0.0000,-0.0020
0.0400,UKF-LOS,jink,0.500,10.00,0.150,1,0.600,1,19.5227,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.9668,-11.6699,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.2641,0.6558,-0.0576,5.4575,2.4931,0.0000,1,0.0886,0.1453,0.0000,-0.0020
0.0500,UKF-LOS,jink,0.500,10.00,0.150,1,0.600,1,19.5550,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,19.0940,-11.6483,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.3290,0.8154,-0.0715,5.4272,2.5584,0.0000,1,0.0886,0.1453,0.0000,-0.0020
0.0600,UKF-LOS,jink,0.500,10.00,0.150,1,0.600,1,19.5862,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,19.2190,-11.6270,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.3936,0.9733,-0.0852,5.3961,2.6233,0.0000,1,0.0886,0.1453,0.0000,-0.0020
0.0700,UKF-LOS,jink,0.500,10.00,0.150,1,0.600,1,19.6163,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,19.3418,-11.6060,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.4577,1.1296,-0.0987,5.3643,2.6879,0.0000,1,0.0886,0.1453,0.0000,-0.0020
0.0800,UKF-LOS,jink,0.500,10.00,0.150,1,0.600,1,19.6452,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,19.4624,-11.5853,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.5213,1.2843,-0.1120,5.3316,2.7521,0.0000,1,0.0886,0.1453,0.0000,-0.0020
0.0900,UKF-LOS,jink,0.500,10.00,0.150,1,0.600,1,19.6731,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,19.5808,-11.5650,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.5846,1.4373,-0.1250,5.2982,2.8158,0.0000,1,0.1182,0.1416,0.0000,0.0000
0.1000,UKF-LOS,jink,0.500,10.00,0.150,1,0.600,1,19.7000,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,19.6970,-11.5450,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.6474,1.5887,-0.1379,5.2640,2.8792,0.0000,1,0.1182,0.1416,0.0000,0.0000
