t_s,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,predict_on,true_range_m,est_range_m,range_err_m,range_sigma_m,est_size_w_m,est_size_h_m,size_err_m,true_speed_mps,est_speed_mps,held_err_px,est_err_px,track_err_px,origin_hdg,origin_att,delayed_hdg,delayed_att,jittered_hdg,jittered_att,est_hdg,est_att,pred_hdg,pred_att,err_delayed_hdg,err_delayed_att,err_jittered_hdg,err_jittered_att,err_est_hdg,err_est_att,detect_count,detect_age_s,tracker_updates,tracker_rejects,imm_p0,imm_p1,imm_p2,chaser_vx,chaser_vy,chaser_vz,target_vx,target_vy,target_vz
0.0100,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.4187,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.5731,-11.7372,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0668,0.1665,-0.0147,5.5709,2.2283,0.0000
0.0200,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.4533,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.7100,-11.7152,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1332,0.3312,-0.0293,5.5708,2.2284,0.0000
0.0300,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.4862,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.8460,-11.6938,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1993,0.4941,-0.0436,5.5708,2.2286,0.0000
0.0400,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.5175,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.9813,-11.6731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.2652,0.6553,-0.0578,5.5707,2.2288,0.0000
0.0500,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.5472,18.2111,-1.3361,9.1472,0.3600,0.1065,0.0177,6.0000,0.0000,1.5760,4.3452,0.1720,19.1158,-11.6530,18.4354,-11.7598,18.4936,-12.0174,18.4847,-12.0351,18.3934,-12.2169,-0.6804,-0.1068,-0.6222,-0.3644,-0.6311,-0.3821,1,0.0500,1,0,1.0000,0.0000,0.0000,0.3307,0.8147,-0.0717,5.5705,2.2291,0.0000
0.0600,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.5753,18.1922,-1.3831,9.1560,0.3600,0.1065,0.0178,6.0000,0.0000,1.5756,5.1256,0.1716,19.2496,-11.6335,18.4354,-11.7598,18.4936,-12.0174,18.4806,-12.0429,18.3689,-12.2616,-0.8142,-0.1263,-0.7560,-0.3839,-0.7690,-0.4093,1,0.0600,1,0,1.0000,0.0000,0.0000,0.3960,0.9723,-0.0855,5.5704,2.2295,0.0000
0.0700,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.6018,18.1701,-1.4318,9.1664,0.3600,0.1065,0.0179,6.0000,0.0000,1.5752,5.9206,0.1712,19.3827,-11.6146,18.4354,-11.7598,18.4936,-12.0174,18.4757,-12.0519,18.3429,-12.3080,-0.9473,-0.1452,-0.8891,-0.4028,-0.9070,-0.4373,1,0.0700,1,0,1.0000,0.0000,0.0000,0.4609,1.1283,-0.0991,5.5702,2.2300,0.0000
0.0800,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.6268,18.1447,-1.4821,9.1783,0.3600,0.1065,0.0179,6.0000,0.0000,1.5748,6.7260,0.1708,19.5152,-11.5963,18.4354,-11.7598,18.4936,-12.0174,18.4699,-12.0624,18.3151,-12.3560,-1.0798,-0.1635,-1.0216,-0.4211,-1.0452,-0.4661,1,0.0800,1,0,1.0000,0.0000,0.0000,0.5255,1.2825,-0.1125,5.5700,2.2305,0.0000
0.0900,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.6502,18.1162,-1.5341,9.1919,0.3600,0.1065,0.0180,6.0000,0.0000,1.5745,7.5395,0.1704,19.6470,-11.5786,18.4354,-11.7598,18.4936,-12.0174,18.4633,-12.0742,18.2856,-12.4058,-1.2116,-0.1813,-1.1534,-0.4389,-1.1837,-0.4956,1,0.0900,1,0,1.0000,0.0000,0.0000,0.5899,1.4351,-0.1258,5.5697,2.2312,0.0000
0.1000,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.6722,18.0845,-1.5877,9.2071,0.3600,0.1065,0.0180,6.0000,0.0000,1.5742,8.3598,0.1701,19.7781,-11.5614,18.4354,-11.7598,18.4936,-12.0174,18.4557,-12.0873,18.2544,-12.4574,-1.3427,-0.1984,-1.2845,-0.4560,-1.3225,-0.5259,1,0.1000,1,0,1.0000,0.0000,0.0000,0.6539,1.5860,-0.1388,5.5695,2.2319,0.0000
0.1100,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.6926,18.0498,-1.6428,9.2239,0.3600,0.1065,0.0181,6.0000,0.0000,1.5739,9.1862,0.1697,19.9087,-11.5448,18.4354,-11.7598,18.4936,-12.0174,18.4471,-12.1018,18.2212,-12.5108,-1.4733,-0.2151,-1.4151,-0.4727,-1.4616,-0.5571,1,0.1100,1,0,1.0000,0.0000,0.0000,0.7177,1.7352,-0.1517,5.5691,2.2326,0.0000
0.1200,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.7115,18.0121,-1.6994,9.2423,0.3600,0.1065,0.0181,6.0000,0.0000,1.5736,10.0183,0.1694,20.0387,-11.5287,18.4354,-11.7598,18.4936,-12.0174,18.4375,-12.1177,18.1862,-12.5660,-1.6033,-0.2312,-1.5451,-0.4888,-1.6012,-0.5890,1,0.1200,1,0,1.0000,0.0000,0.0000,0.7812,1.8828,-0.1643,5.5688,2.2335,0.0000
0.1300,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.7289,17.9713,-1.7576,9.2623,0.3600,0.1065,0.0182,6.0000,0.0000,1.5733,10.8559,0.1691,20.1681,-11.5131,18.4354,-11.7598,18.4936,-12.0174,18.4270,-12.1349,18.1491,-12.6231,-1.7327,-0.2467,-1.6745,-0.5043,-1.7412,-0.6218,1,0.1300,1,0,1.0000,0.0000,0.0000,0.8443,2.0288,-0.1769,5.5684,2.2344,0.0000
0.1400,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.7449,17.9277,-1.8172,9.2839,0.3600,0.1065,0.0182,6.0000,0.0000,1.5730,11.6992,0.1688,20.2971,-11.4981,18.4354,-11.7598,18.4936,-12.0174,18.4153,-12.1534,18.1100,-12.6822,-1.8617,-0.2617,-1.8035,-0.5193,-1.8817,-0.6553,1,0.1400,1,0,1.0000,0.0000,0.0000,0.9072,2.1731,-0.1892,5.5680,2.2354,0.0000
0.1500,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.7595,18.4422,-1.3173,6.2362,0.3560,0.1074,0.0223,6.0000,4.1981,0.8446,2.0362,0.1686,20.4255,-11.4836,19.7781,-11.5614,19.6844,-11.4543,20.2069,-11.2191,26.1941,-8.4047,-0.6473,-0.0778,-0.7410,0.0293,-0.2185,0.2645,2,0.0500,2,0,1.0000,0.0000,0.0000,0.9698,2.3159,-0.2014,5.5676,2.2365,0.0000
0.1600,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.7726,18.4102,-1.3624,6.2595,0.3560,0.1074,0.0224,6.0000,4.1981,0.8448,2.2565,0.1683,20.5534,-11.4696,19.7781,-11.5614,19.6844,-11.4543,20.3191,-11.1704,26.3324,-8.3636,-0.7753,-0.0918,-0.8690,0.0152,-0.2343,0.2992,2,0.0600,2,0,1.0000,0.0000,0.0000,1.0321,2.4571,-0.2134,5.5671,2.2377,0.0000
0.1700,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.7843,18.3753,-1.4090,6.2851,0.3560,0.1074,0.0224,6.0000,4.1981,0.8449,2.4757,0.1681,20.6809,-11.4561,19.7781,-11.5614,19.6844,-11.4543,20.4310,-11.1226,26.4720,-8.3225,-0.9027,-0.1053,-0.9964,0.0017,-0.2499,0.3335,2,0.0700,2,0,1.0000,0.0000,0.0000,1.0942,2.5968,-0.2252,5.5666,2.2389,0.0000
0.1800,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.7946,18.3376,-1.4570,6.3130,0.3560,0.1074,0.0224,6.0000,4.1981,0.8450,2.6934,0.1679,20.8079,-11.4430,19.7781,-11.5614,19.6844,-11.4543,20.5426,-11.0756,26.6129,-8.2814,-1.0297,-0.1183,-1.1234,-0.0113,-0.2653,0.3674,2,0.0800,2,0,1.0000,0.0000,0.0000,1.1559,2.7349,-0.2369,5.5661,2.2403,0.0000
0.1900,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.8035,18.2971,-1.5064,6.3431,0.3560,0.1074,0.0225,6.0000,4.1981,0.8451,2.9095,0.1677,20.9344,-11.4305,19.7781,-11.5614,19.6844,-11.4543,20.6540,-11.0294,26.7551,-8.2403,-1.1563,-0.1309,-1.2500,-0.0238,-0.2805,0.4011,2,0.0900,2,0,1.0000,0.0000,0.0000,1.2174,2.8715,-0.2484,5.5655,2.2417,0.0000
0.2000,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.8111,18.2539,-1.5572,6.3755,0.3560,0.1074,0.0225,6.0000,4.1981,0.8452,3.1240,0.1675,21.0606,-11.4184,19.7781,-11.5614,19.6844,-11.4543,20.7651,-10.9841,26.8988,-8.1993,-1.2825,-0.1429,-1.3762,-0.0359,-0.2955,0.4344,2,0.1000,2,0,1.0000,0.0000,0.0000,1.2786,3.0065,-0.2597,5.5649,2.2431,0.0000
0.2100,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.8173,18.2079,-1.6093,6.4102,0.3560,0.1074,0.0225,6.0000,4.1981,0.8453,3.3368,0.1673,21.1864,-11.4069,19.7781,-11.5614,19.6844,-11.4543,20.8761,-10.9395,27.0440,-8.1581,-1.4082,-0.1545,-1.5019,-0.0475,-0.3103,0.4674,2,0.1100,2,0,1.0000,0.0000,0.0000,1.3395,3.1401,-0.2709,5.5643,2.2447,0.0000
0.2200,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.8221,18.1593,-1.6628,6.4470,0.3560,0.1074,0.0226,6.0000,4.1981,0.8453,3.5478,0.1672,21.3118,-11.3957,19.7781,-11.5614,19.6844,-11.4543,20.9869,-10.8956,27.1906,-8.1170,-1.5337,-0.1657,-1.6273,-0.0586,-0.3249,0.5001,2,0.1200,2,0,1.0000,0.0000,0.0000,1.4002,3.2722,-0.2819,5.5636,2.2463,0.0000
0.2300,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.8257,18.1081,-1.7176,6.4860,0.3560,0.1074,0.0226,6.0000,4.1981,0.8454,3.7571,0.1670,21.4368,-11.3851,19.7781,-11.5614,19.6844,-11.4543,21.0976,-10.8525,27.3388,-8.0757,-1.6587,-0.1763,-1.7524,-0.0693,-0.3392,0.5326,2,0.1300,2,0,1.0000,0.0000,0.0000,1.4605,3.4028,-0.2928,5.5629,2.2480,0.0000
0.2400,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.8279,18.0543,-1.7736,6.5271,0.3560,0.1074,0.0226,6.0000,4.1981,0.8454,3.9647,0.1669,21.5615,-11.3748,19.7781,-11.5614,19.6844,-11.4543,21.2082,-10.8100,27.4886,-8.0344,-1.7834,-0.1866,-1.8771,-0.0795,-0.3533,0.5648,2,0.1400,2,0,1.0000,0.0000,0.0000,1.5206,3.5320,-0.3035,5.5622,2.2498,0.0000
0.2500,EKF,smooth,0.500,10.00,0.050,1,0.600,1,19.8288,17.4569,-2.3719,4.8915,0.3448,0.1050,0.0338,6.0000,4.9214,1.3297,2.2414,0.1668,21.6859,-11.3650,21.0606,-11.4184,21.2609,-11.3144,22.0471,-11.2430,30.7837,-10.2220,-0.6253,-0.0534,-0.4250,0.0506,0.3612,0.1221,3,0.0500,3,0,1.0000,0.0000,0.0000,1.5805,3.6597,-0.3140,5.5615,2.2517,0.0000
