t_s,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,predict_on,true_range_m,est_range_m,range_err_m,range_sigma_m,est_size_w_m,est_size_h_m,size_err_m,true_speed_mps,est_speed_mps,held_err_px,est_err_px,track_err_px,origin_hdg,origin_att,delayed_hdg,delayed_att,jittered_hdg,jittered_att,est_hdg,est_att,pred_hdg,pred_att,err_delayed_hdg,err_delayed_att,err_jittered_hdg,err_jittered_att,err_est_hdg,err_est_att,detect_count,detect_age_s,tracker_updates,tracker_rejects,imm_p0,imm_p1,imm_p2,chaser_vx,chaser_vy,chaser_vz,target_vx,target_vy,target_vz
0.0100,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.4193,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.5716,-11.7368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0666,0.1666,-0.0147,5.5437,2.2950,0.0000
0.0200,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.4549,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.7056,-11.7142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1329,0.3314,-0.0292,5.5158,2.3614,0.0000
0.0300,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.4894,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.8373,-11.6919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1987,0.4944,-0.0435,5.4870,2.4274,0.0000
0.0400,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.5227,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.9668,-11.6699,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.2641,0.6558,-0.0576,5.4575,2.4931,0.0000
0.0500,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.5550,17.9857,-1.5693,9.0348,0.3600,0.1052,0.0187,6.0000,0.0000,3.1549,5.0291,0.1722,19.0940,-11.6483,18.4354,-11.7598,18.5519,-12.2750,18.5434,-12.2936,18.4553,-12.4846,-0.6586,-0.1116,-0.5421,-0.6268,-0.5506,-0.6454,1,0.0500,1,0,0.3333,0.3333,0.3333,0.3290,0.8154,-0.0715,5.4272,2.5584,0.0000
0.0600,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.5862,17.9668,-1.6193,9.0436,0.3600,0.1052,0.0187,6.0000,0.0000,3.1545,5.6668,0.1717,19.2190,-11.6270,18.4354,-11.7598,18.5519,-12.2750,18.5395,-12.3017,18.4324,-12.5317,-0.7836,-0.1329,-0.6671,-0.6481,-0.6795,-0.6748,1,0.0600,1,0,0.3333,0.3333,0.3333,0.3936,0.9733,-0.0852,5.3961,2.6233,0.0000
0.0700,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.6163,17.9447,-1.6716,9.0541,0.3600,0.1052,0.0187,6.0000,0.0000,3.1541,6.3334,0.1712,19.3418,-11.6060,18.4354,-11.7598,18.5519,-12.2750,18.5349,-12.3113,18.4082,-12.5805,-0.9064,-0.1539,-0.7899,-0.6691,-0.8069,-0.7053,1,0.0700,1,0,0.3333,0.3333,0.3333,0.4577,1.1296,-0.0987,5.3643,2.6879,0.0000
0.0800,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.6452,17.9193,-1.7259,9.0663,0.3600,0.1052,0.0185,6.0000,0.0000,3.1537,7.0183,0.1707,19.4624,-11.5853,18.4354,-11.7598,18.5519,-12.2750,18.5295,-12.3223,18.3827,-12.6312,-1.0270,-0.1745,-0.9105,-0.6897,-0.9329,-0.7370,1,0.0800,1,0,0.3333,0.3333,0.3333,0.5213,1.2843,-0.1120,5.3316,2.7521,0.0000
0.0900,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.6731,17.8908,-1.7824,9.0800,0.3600,0.1052,0.0183,6.0000,0.0000,3.1533,7.7151,0.1702,19.5808,-11.5650,18.4354,-11.7598,18.5519,-12.2750,18.5233,-12.3347,18.3558,-12.6838,-1.1454,-0.1948,-1.0289,-0.7100,-1.0574,-0.7697,1,0.0900,1,0,0.3333,0.3333,0.3333,0.5846,1.4373,-0.1250,5.2982,2.8158,0.0000
0.1000,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.7000,17.8591,-1.8408,9.0954,0.3600,0.1052,0.0180,6.0000,0.0000,3.1529,8.4191,0.1696,19.6970,-11.5450,18.4354,-11.7598,18.5519,-12.2750,18.5164,-12.3486,18.3276,-12.7383,-1.2616,-0.2149,-1.1451,-0.7301,-1.1806,-0.8036,1,0.1000,1,0,0.3333,0.3333,0.3333,0.6474,1.5887,-0.1379,5.2640,2.8792,0.0000
0.1100,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.7257,17.8244,-1.9013,9.1124,0.3600,0.1052,0.0177,6.0000,0.0000,3.1525,9.1275,0.1691,19.8110,-11.5253,18.4354,-11.7598,18.5519,-12.2750,18.5086,-12.3639,18.2980,-12.7947,-1.3756,-0.2346,-1.2591,-0.7498,-1.3025,-0.8386,1,0.1100,1,0,0.3333,0.3333,0.3333,0.7097,1.7386,-0.1506,5.2291,2.9422,0.0000
0.1200,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.7504,17.7867,-1.9637,9.1310,0.3600,0.1052,0.0173,6.0000,0.0000,3.1520,9.8380,0.1686,19.9229,-11.5059,18.4354,-11.7598,18.5519,-12.2750,18.5000,-12.3806,18.2669,-12.8532,-1.4875,-0.2539,-1.3710,-0.7691,-1.4229,-0.8747,1,0.1200,1,0,0.3333,0.3333,0.3333,0.7716,1.8868,-0.1631,5.1934,3.0047,0.0000
0.1300,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.7741,17.7460,-2.0281,9.1512,0.3600,0.1052,0.0168,6.0000,0.0000,3.1516,10.5493,0.1680,20.0326,-11.4868,18.4354,-11.7598,18.5519,-12.2750,18.4905,-12.3988,18.2344,-12.9137,-1.5972,-0.2730,-1.4807,-0.7882,-1.5421,-0.9119,1,0.1300,1,0,0.3333,0.3333,0.3333,0.8331,2.0336,-0.1754,5.1570,3.0668,0.0000
0.1400,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.7967,17.7024,-2.0943,9.1731,0.3600,0.1052,0.0162,6.0000,0.0000,3.1511,11.2603,0.1675,20.1402,-11.4681,18.4354,-11.7598,18.5519,-12.2750,18.4802,-12.4184,18.2004,-12.9763,-1.7048,-0.2918,-1.5883,-0.8070,-1.6600,-0.9503,1,0.1400,1,0,0.3333,0.3333,0.3333,0.8941,2.1787,-0.1876,5.1198,3.1285,0.0000
0.1500,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.8182,18.4709,-1.3473,6.1468,0.3536,0.1068,0.0220,6.0000,4.3330,1.6882,3.6156,0.1669,20.2456,-11.4496,19.6970,-11.5450,19.5097,-11.3308,19.9134,-10.9406,24.6562,-6.2198,-0.5487,-0.0954,-0.7360,0.1188,-0.3322,0.5090,2,0.0500,2,0,0.3434,0.3394,0.3172,0.9547,2.3224,-0.1995,5.0819,3.1897,0.0000
0.1600,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.8387,18.4395,-1.3992,6.1714,0.3536,0.1068,0.0213,6.0000,4.3330,1.6884,4.0015,0.1663,20.3489,-11.4315,19.6970,-11.5450,19.5097,-11.3308,20.0028,-10.8552,24.7643,-6.1284,-0.6519,-0.1135,-0.8393,0.1006,-0.3462,0.5762,2,0.0600,2,0,0.3434,0.3394,0.3172,1.0148,2.4646,-0.2113,5.0433,3.2504,0.0000
0.1700,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.8582,18.4052,-1.4530,6.1985,0.3536,0.1068,0.0205,6.0000,4.3330,1.6886,4.3843,0.1657,20.4501,-11.4136,19.6970,-11.5450,19.5097,-11.3308,20.0919,-10.7706,24.8737,-6.0361,-0.7531,-0.1314,-0.9404,0.0828,-0.3582,0.6430,2,0.0700,2,0,0.3434,0.3394,0.3172,1.0745,2.6053,-0.2228,5.0039,3.3107,0.0000
0.1800,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.8766,18.3680,-1.5086,6.2281,0.3536,0.1068,0.0197,6.0000,4.3330,1.6888,4.7638,0.1651,20.5491,-11.3961,19.6970,-11.5450,19.5097,-11.3308,20.1808,-10.6866,24.9843,-5.9431,-0.8522,-0.1489,-1.0395,0.0653,-0.3684,0.7094,2,0.0800,2,0,0.3434,0.3394,0.3172,1.1338,2.7445,-0.2342,4.9638,3.3705,0.0000
0.1900,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.8940,18.3281,-1.5659,6.2601,0.3536,0.1068,0.0188,6.0000,4.3330,1.6891,5.1399,0.1645,20.6461,-11.3788,19.6970,-11.5450,19.5097,-11.3308,20.2695,-10.6033,25.0963,-5.8491,-0.9491,-0.1661,-1.1364,0.0480,-0.3766,0.7755,2,0.0900,2,0,0.3434,0.3394,0.3172,1.1925,2.8823,-0.2455,4.9230,3.4299,0.0000
0.2000,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.9104,18.2854,-1.6250,6.2944,0.3536,0.1068,0.0180,6.0000,4.3330,1.6904,5.5136,0.1639,20.7412,-11.3619,19.6970,-11.5450,19.5097,-11.3308,20.3581,-10.5206,25.2096,-5.7542,-1.0442,-0.1831,-1.2315,0.0311,-0.3831,0.8413,2,0.1000,2,0,0.3434,0.3394,0.3172,1.2508,3.0187,-0.2565,4.8815,3.4887,0.0000
0.2100,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.9257,18.2399,-1.6858,6.3311,0.3536,0.1068,0.0174,6.0000,4.3330,1.6913,5.8836,0.1637,20.8341,-11.3452,19.6970,-11.5450,19.5097,-11.3308,20.4465,-10.4384,25.3244,-5.6584,-1.1371,-0.1998,-1.3245,0.0144,-0.3876,0.9068,2,0.1100,2,0,0.3434,0.3394,0.3172,1.3087,3.1536,-0.2674,4.8393,3.5470,0.0000
0.2200,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.9401,18.1919,-1.7482,6.3702,0.3536,0.1068,0.0168,6.0000,4.3330,1.6912,6.2501,0.1636,20.9247,-11.3288,19.6970,-11.5450,19.5097,-11.3308,20.5349,-10.3568,25.4408,-5.5615,-1.2277,-0.2162,-1.4150,-0.0021,-0.3898,0.9720,2,0.1200,2,0,0.3434,0.3394,0.3172,1.3661,3.2872,-0.2781,4.7964,3.6048,0.0000
0.2300,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.9534,18.1412,-1.8123,6.4115,0.3536,0.1068,0.0162,6.0000,4.3330,1.6910,6.6142,0.1634,21.0132,-11.3126,19.6970,-11.5450,19.5097,-11.3308,20.6233,-10.2756,25.5587,-5.4635,-1.3162,-0.2323,-1.5035,-0.0182,-0.3899,1.0370,2,0.1300,2,0,0.3434,0.3394,0.3172,1.4230,3.4193,-0.2886,4.7528,3.6621,0.0000
0.2400,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.9658,18.0879,-1.8779,6.4551,0.3536,0.1068,0.0156,6.0000,4.3330,1.6909,6.9762,0.1632,21.0996,-11.2968,19.6970,-11.5450,19.5097,-11.3308,20.7117,-10.1949,25.6783,-5.3644,-1.4026,-0.2481,-1.5899,-0.0340,-0.3879,1.1020,2,0.1400,2,0,0.3434,0.3394,0.3172,1.4795,3.5501,-0.2990,4.7085,3.7189,0.0000
0.2500,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.9771,18.1558,-1.8212,4.8722,0.3456,0.1066,0.0229,6.0000,5.2934,2.6589,4.6087,0.1631,21.1839,-11.2813,20.7412,-11.3619,21.1415,-11.1537,21.9130,-10.9956,30.5461,-9.2407,-0.4427,-0.0806,-0.0424,0.1276,0.7292,0.2857,3,0.0500,3,0,0.4247,0.3814,0.1939,1.5355,3.6796,-0.3091,4.6635,3.7751,0.0000
0.2600,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.9874,18.1165,-1.8709,4.9133,0.3456,0.1066,0.0221,6.0000,5.2934,2.6593,5.0584,0.1629,21.2661,-11.2661,20.7412,-11.3619,21.1415,-11.1537,22.0726,-10.9685,30.7658,-9.2240,-0.5249,-0.0958,-0.1246,0.1124,0.8065,0.2976,3,0.0600,3,0,0.4247,0.3814,0.1939,1.5910,3.8077,-0.3192,4.6179,3.8308,0.0000
0.2700,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.9968,18.0746,-1.9222,4.9572,0.3456,0.1066,0.0212,6.0000,5.2934,2.6598,5.5230,0.1627,21.3462,-11.2512,20.7412,-11.3619,21.1415,-11.1537,22.2326,-10.9422,30.9889,-9.2077,-0.6050,-0.1107,-0.2047,0.0974,0.8865,0.3090,3,0.0700,3,0,0.4247,0.3814,0.1939,1.6461,3.9345,-0.3290,4.5716,3.8859,0.0000
0.2800,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0051,18.0302,-1.9749,5.0038,0.3456,0.1066,0.0203,6.0000,5.2934,2.6602,6.0028,0.1625,21.4242,-11.2365,20.7412,-11.3619,21.1415,-11.1537,22.3932,-10.9167,31.2155,-9.1918,-0.6830,-0.1253,-0.2827,0.0828,0.9691,0.3198,3,0.0800,3,0,0.4247,0.3814,0.1939,1.7007,4.0601,-0.3387,4.5246,3.9405,0.0000
0.2900,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0125,17.9833,-2.0291,5.0532,0.3456,0.1066,0.0193,6.0000,5.2934,2.6606,6.4982,0.1622,21.5001,-11.2222,20.7412,-11.3619,21.1415,-11.1537,22.5544,-10.8921,31.4457,-9.1762,-0.7589,-0.1397,-0.3587,0.0685,1.0543,0.3302,3,0.0900,3,0,0.4247,0.3814,0.1939,1.7549,4.1843,-0.3483,4.4770,3.9945,0.0000
0.3000,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0188,17.9340,-2.0848,5.1053,0.3456,0.1066,0.0183,6.0000,5.2934,2.6610,7.0096,0.1620,21.5740,-11.2082,20.7412,-11.3619,21.1415,-11.1537,22.7163,-10.8682,31.6797,-9.1611,-0.8328,-0.1537,-0.4325,0.0545,1.1423,0.3400,3,0.1000,3,0,0.4247,0.3814,0.1939,1.8085,4.3073,-0.3576,4.4288,4.0480,0.0000
0.3100,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0242,17.8824,-2.1418,5.1599,0.3456,0.1066,0.0172,6.0000,5.2934,2.6615,7.5375,0.1618,21.6457,-11.1945,20.7412,-11.3619,21.1415,-11.1537,22.8788,-10.8451,31.9176,-9.1463,-0.9046,-0.1674,-0.5043,0.0407,1.2331,0.3494,3,0.1100,3,0,0.4247,0.3814,0.1939,1.8617,4.4290,-0.3669,4.3799,4.1008,0.0000
0.3200,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0286,17.8284,-2.2003,5.2170,0.3456,0.1066,0.0160,6.0000,5.2934,2.6619,8.0823,0.1616,21.7154,-11.1810,20.7412,-11.3619,21.1415,-11.1537,23.0422,-10.8227,32.1595,-9.1319,-0.9743,-0.1808,-0.5740,0.0273,1.3268,0.3583,3,0.1200,3,0,0.4247,0.3814,0.1939,1.9144,4.5495,-0.3759,4.3303,4.1531,0.0000
0.3300,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0321,17.7721,-2.2600,5.2766,0.3456,0.1066,0.0148,6.0000,5.2934,2.6623,8.6445,0.1613,21.7830,-11.1679,20.7412,-11.3619,21.1415,-11.1537,23.2065,-10.8011,32.4056,-9.1178,-1.0419,-0.1940,-0.6416,0.0142,1.4235,0.3668,3,0.1300,3,0,0.4247,0.3814,0.1939,1.9667,4.6687,-0.3848,4.2802,4.2047,0.0000
0.3400,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0345,17.7135,-2.3210,5.3385,0.3456,0.1066,0.0135,6.0000,5.2934,2.6627,9.2244,0.1610,21.8486,-11.1551,20.7412,-11.3619,21.1415,-11.1537,23.3718,-10.7803,32.6561,-9.1041,-1.1074,-0.2068,-0.7071,0.0014,1.5232,0.3748,3,0.1400,3,0,0.4247,0.3814,0.1939,2.0184,4.7868,-0.3936,4.2294,4.2558,0.0000
0.3500,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0360,18.0501,-1.9859,4.4105,0.3354,0.1048,0.0223,6.0000,6.1323,2.6048,3.8888,0.1608,21.9121,-11.1426,21.5740,-11.2082,21.8198,-11.5709,22.3189,-11.6559,26.6139,-12.9482,-0.3381,-0.0656,-0.0922,-0.4283,0.4069,-0.5133,4,0.0500,4,0,0.4903,0.3991,0.1106,2.0697,4.9036,-0.4022,4.1781,4.3063,0.0000
0.3600,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0365,18.0447,-1.9918,4.4648,0.3354,0.1048,0.0209,6.0000,6.1323,2.6047,4.1754,0.1605,21.9734,-11.1304,21.5740,-11.2082,21.8198,-11.5709,22.4045,-11.6859,26.7113,-13.0086,-0.3995,-0.0778,-0.1536,-0.4405,0.4310,-0.5555,4,0.0600,4,0,0.4903,0.3991,0.1106,2.1205,5.0193,-0.4107,4.1261,4.3561,0.0000
0.3700,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0361,18.0369,-1.9992,4.5215,0.3354,0.1048,0.0195,6.0000,6.1323,2.6046,4.4730,0.1602,22.0328,-11.1185,21.5740,-11.2082,21.8198,-11.5709,22.4900,-11.7169,26.8098,-13.0705,-0.4588,-0.0897,-0.2129,-0.4524,0.4572,-0.5985,4,0.0700,4,0,0.4903,0.3991,0.1106,2.1709,5.1338,-0.4190,4.0735,4.4053,0.0000
0.3800,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0347,18.0267,-2.0080,4.5805,0.3354,0.1048,0.0180,6.0000,6.1323,2.6046,4.7814,0.1599,22.0900,-11.1068,21.5740,-11.2082,21.8198,-11.5709,22.5754,-11.7491,26.9093,-13.1338,-0.5160,-0.1013,-0.2702,-0.4640,0.4853,-0.6422,4,0.0800,4,0,0.4903,0.3991,0.1106,2.2207,5.2472,-0.4272,4.0204,4.4538,0.0000
0.3900,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0323,18.0142,-2.0181,4.6416,0.3354,0.1048,0.0164,6.0000,6.1323,2.6044,5.1007,0.1596,22.1452,-11.0955,21.5740,-11.2082,21.8198,-11.5709,22.6607,-11.7823,27.0099,-13.1986,-0.5712,-0.1126,-0.3254,-0.4753,0.5155,-0.6867,4,0.0900,4,0,0.4903,0.3991,0.1106,2.2701,5.3594,-0.4352,3.9666,4.5018,0.0000
0.4000,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0290,17.9995,-2.0295,4.7049,0.3354,0.1048,0.0148,6.0000,6.1323,2.6044,5.4310,0.1593,22.1983,-11.0846,21.5740,-11.2082,21.8198,-11.5709,22.7461,-11.8166,27.1117,-13.2649,-0.6243,-0.1236,-0.3785,-0.4863,0.5478,-0.7320,4,0.1000,4,0,0.4903,0.3991,0.1106,2.3190,5.4705,-0.4431,3.9123,4.5490,0.0000
0.4100,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0247,17.9825,-2.0422,4.7702,0.3354,0.1048,0.0131,6.0000,6.1323,2.6042,5.7724,0.1590,22.2493,-11.0739,21.5740,-11.2082,21.8198,-11.5709,22.8315,-11.8519,27.2148,-13.3327,-0.6753,-0.1343,-0.4295,-0.4970,0.5822,-0.7781,4,0.1100,4,0,0.4903,0.3991,0.1106,2.3674,5.5805,-0.4508,3.8575,4.5957,0.0000
0.4200,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0195,17.9634,-2.0561,4.8375,0.3354,0.1048,0.0114,6.0000,6.1323,2.6041,6.1251,0.1587,22.2983,-11.0635,21.5740,-11.2082,21.8198,-11.5709,22.9170,-11.8884,27.3191,-13.4021,-0.7243,-0.1447,-0.4784,-0.5074,0.6187,-0.8249,4,0.1200,4,0,0.4903,0.3991,0.1106,2.4153,5.6894,-0.4584,3.8020,4.6416,0.0000
0.4300,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0133,17.9420,-2.0712,4.9067,0.3354,0.1048,0.0096,6.0000,6.1323,2.6040,6.4892,0.1584,22.3451,-11.0534,21.5740,-11.2082,21.8198,-11.5709,23.0026,-11.9260,27.4247,-13.4730,-0.7712,-0.1547,-0.5253,-0.5174,0.6574,-0.8726,4,0.1300,4,0,0.4903,0.3991,0.1106,2.4627,5.7972,-0.4659,3.7461,4.6869,0.0000
0.4400,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,20.0061,17.9186,-2.0875,4.9778,0.3354,0.1048,0.0078,6.0000,6.1323,2.6038,6.8649,0.1580,22.3900,-11.0437,21.5740,-11.2082,21.8198,-11.5709,23.0883,-11.9647,27.5317,-13.5456,-0.8160,-0.1645,-0.5701,-0.5272,0.6984,-0.9210,4,0.1400,4,0,0.4903,0.3991,0.1106,2.5097,5.9040,-0.4732,3.6895,4.7315,0.0000
0.4500,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.9980,18.6698,-1.3282,4.2485,0.3404,0.1061,0.0009,6.0000,7.8988,1.7239,2.8533,0.1577,22.4327,-11.0343,22.1983,-11.0846,22.4854,-11.1446,22.9020,-11.1584,26.3177,-10.4661,-0.2344,-0.0503,0.0527,-0.1103,0.4693,-0.1241,5,0.0500,5,0,0.6594,0.3000,0.0406,2.5561,6.0097,-0.4804,3.6325,4.7754,0.0000
0.4600,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.9890,18.6727,-1.3163,4.3188,0.3404,0.1061,0.0011,6.0000,7.8988,1.7241,3.0173,0.1574,22.4734,-11.0252,22.1983,-11.0846,22.4854,-11.1446,22.9720,-11.1473,26.3930,-10.4754,-0.2751,-0.0594,0.0120,-0.1194,0.4987,-0.1222,5,0.0600,5,0,0.6594,0.3000,0.0406,2.6021,6.1143,-0.4874,3.5749,4.8187,0.0000
0.4700,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.9790,18.6734,-1.3056,4.3907,0.3404,0.1061,0.0030,6.0000,7.8988,1.7243,3.1943,0.1570,22.5119,-11.0164,22.1983,-11.0846,22.4854,-11.1446,23.0419,-11.1372,26.4691,-10.4854,-0.3137,-0.0682,-0.0266,-0.1282,0.5300,-0.1208,5,0.0700,5,0,0.6594,0.3000,0.0406,2.6475,6.2180,-0.4944,3.5169,4.8612,0.0000
0.4800,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.9681,18.6719,-1.2962,4.4640,0.3404,0.1061,0.0051,6.0000,7.8988,1.7244,3.3843,0.1566,22.5484,-11.0079,22.1983,-11.0846,22.4854,-11.1446,23.1117,-11.1279,26.5459,-10.4961,-0.3502,-0.0767,-0.0631,-0.1367,0.5633,-0.1200,5,0.0800,5,0,0.6594,0.3000,0.0406,2.6925,6.3206,-0.5012,3.4583,4.9031,0.0000
0.4900,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.9562,18.6684,-1.2878,4.5387,0.3404,0.1061,0.0071,6.0000,7.8988,1.7246,3.5874,0.1563,22.5829,-10.9998,22.1983,-11.0846,22.4854,-11.1446,23.1816,-11.1196,26.6235,-10.5076,-0.3846,-0.0848,-0.0975,-0.1448,0.5987,-0.1198,5,0.0900,5,0,0.6594,0.3000,0.0406,2.7370,6.4222,-0.5078,3.3992,4.9442,0.0000
0.5000,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.9434,18.6628,-1.2806,4.6147,0.3404,0.1061,0.0091,6.0000,7.8988,1.7232,3.8019,0.1558,22.6155,-10.9919,22.1983,-11.0846,22.4854,-11.1446,23.2513,-11.1120,26.7019,-10.5198,-0.4172,-0.0926,-0.1301,-0.1526,0.6359,-0.1201,5,0.1000,5,0,0.6594,0.3000,0.0406,2.7810,6.5228,-0.5144,3.3396,4.9847,0.0000
0.5100,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.9296,18.6551,-1.2745,4.6920,0.3404,0.1061,0.0109,6.0000,7.8988,1.7221,4.0300,0.1558,22.6460,-10.9844,22.1983,-11.0846,22.4854,-11.1446,23.3212,-11.1054,26.7812,-10.5328,-0.4477,-0.1002,-0.1606,-0.1602,0.6752,-0.1210,5,0.1100,5,0,0.6594,0.3000,0.0406,2.8245,6.6225,-0.5208,3.2796,5.0244,0.0000
0.5200,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.9150,18.6455,-1.2695,4.7705,0.3404,0.1061,0.0125,6.0000,7.8988,1.7223,4.2727,0.1558,22.6742,-10.9771,22.1983,-11.0846,22.4854,-11.1446,23.3911,-11.0996,26.8615,-10.5465,-0.4759,-0.1074,-0.1888,-0.1674,0.7169,-0.1224,5,0.1200,5,0,0.6594,0.3000,0.0406,2.8675,6.7211,-0.5271,3.2190,5.0634,0.0000
0.5300,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.8993,18.6339,-1.2654,4.8503,0.3404,0.1061,0.0143,6.0000,7.8988,1.7226,4.5288,0.1559,22.7002,-10.9703,22.1983,-11.0846,22.4854,-11.1446,23.4610,-11.0946,26.9426,-10.5610,-0.5020,-0.1143,-0.2149,-0.1743,0.7608,-0.1244,5,0.1300,5,0,0.6594,0.3000,0.0406,2.9100,6.8188,-0.5332,3.1580,5.1016,0.0000
0.5400,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.8828,18.6203,-1.2624,4.9311,0.3404,0.1061,0.0160,6.0000,7.8988,1.7228,4.7983,0.1559,22.7242,-10.9637,22.1983,-11.0846,22.4854,-11.1446,23.5311,-11.0905,27.0248,-10.5762,-0.5260,-0.1209,-0.2389,-0.1809,0.8069,-0.1268,5,0.1400,5,0,0.6594,0.3000,0.0406,2.9520,6.9156,-0.5392,3.0966,5.1392,0.0000
0.5500,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.8653,19.8174,-0.0479,4.5696,0.3366,0.1073,0.0140,6.0000,11.0765,3.2534,3.4558,0.1559,22.7462,-10.9575,22.6155,-10.9919,22.4626,-11.5147,22.7443,-11.5351,23.8136,-12.2373,-0.1307,-0.0344,-0.2835,-0.5572,-0.0019,-0.5777,6,0.0500,6,0,0.7106,0.2631,0.0263,2.9935,7.0115,-0.5452,3.0347,5.1760,0.0000
0.5600,IMM-EKF,jink,0.500,10.00,0.050,1,0.600,1,19.8468,19.8458,-0.0010,4.6429,0.3366,0.1073,0.0158,6.0000,11.0765,3.2533,3.5979,0.1560,22.7660,-10.9516,22.6155,-10.9919,22.4626,-11.5147,22.7672,-11.5530,23.8346,-12.2744,-0.1505,-0.0403,-0.3033,-0.5631,0.0013,-0.6014,6,0.0600,6,0,0.7106,0.2631,0.0263,3.0346,7.1064,-0.5509,2.9724,5.2120,0.0000
