t_s,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,predict_on,true_range_m,est_range_m,range_err_m,range_sigma_m,est_size_w_m,est_size_h_m,size_err_m,true_speed_mps,est_speed_mps,held_err_px,est_err_px,track_err_px,origin_hdg,origin_att,delayed_hdg,delayed_att,jittered_hdg,jittered_att,est_hdg,est_att,pred_hdg,pred_att,err_delayed_hdg,err_delayed_att,err_jittered_hdg,err_jittered_att,err_est_hdg,err_est_att,detect_count,detect_age_s,tracker_updates,tracker_rejects,imm_p0,imm_p1,imm_p2,chaser_vx,chaser_vy,chaser_vz,target_vx,target_vy,target_vz
0.0100,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.7695,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,14.8203,-8.6072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0644,0.2146,-0.0209,5.8209,1.4552,0.0000
0.0200,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.7937,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,14.8966,-8.6014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1284,0.4269,-0.0416,5.8208,1.4553,0.0000
0.0300,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.8158,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,14.9727,-8.5957,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1920,0.6371,-0.0620,5.8208,1.4555,0.0000
0.0400,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.8358,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,15.0486,-8.5901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.2553,0.8450,-0.0822,5.8207,1.4557,0.0000
0.0500,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.8536,38.4894,-1.3642,19.2817,0.3600,0.2249,0.0078,6.0000,0.0000,0.7252,17.6175,0.0684,15.1243,-8.5848,14.7438,-5.7459,14.6386,-5.6822,14.6354,-5.6827,14.6033,-5.6879,-0.3806,2.8389,-0.4857,2.9026,-0.4889,2.9021,1,0.0500,1,0,0.3333,0.3333,0.3333,0.3182,1.0508,-0.1022,5.8207,1.4560,0.0000
0.0600,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.8695,38.4656,-1.4039,19.2858,0.3600,0.2249,0.0078,6.0000,0.0000,0.7253,17.6668,0.0683,15.1999,-8.5796,14.7438,-5.7459,14.6386,-5.6822,14.6340,-5.6829,14.5948,-5.6892,-0.4561,2.8337,-0.5613,2.8974,-0.5659,2.8967,1,0.0600,1,0,0.3333,0.3333,0.3333,0.3808,1.2545,-0.1220,5.8205,1.4564,0.0000
0.0700,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.8832,38.4376,-1.4456,19.2907,0.3600,0.2249,0.0079,6.0000,0.0000,0.7253,17.7288,0.0683,15.2753,-8.5745,14.7438,-5.7459,14.6386,-5.6822,14.6322,-5.6832,14.5858,-5.6905,-0.5315,2.8286,-0.6367,2.8924,-0.6430,2.8914,1,0.0700,1,0,0.3333,0.3333,0.3333,0.4430,1.4561,-0.1416,5.8204,1.4569,0.0000
0.0800,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.8950,38.4056,-1.4894,19.2964,0.3600,0.2249,0.0080,6.0000,0.0000,0.7253,17.8033,0.0682,15.3505,-8.5697,14.7438,-5.7459,14.6386,-5.6822,14.6302,-5.6835,14.5762,-5.6920,-0.6067,2.8238,-0.7119,2.8875,-0.7203,2.8862,1,0.0800,1,0,0.3333,0.3333,0.3333,0.5049,1.6555,-0.1609,5.8203,1.4575,0.0000
0.0900,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.9047,38.3695,-1.5352,19.3029,0.3600,0.2249,0.0081,6.0000,0.0000,0.7253,17.8903,0.0682,15.4256,-8.5649,14.7438,-5.7459,14.6386,-5.6822,14.6278,-5.6838,14.5662,-5.6934,-0.6818,2.8190,-0.7870,2.8828,-0.7978,2.8811,1,0.0900,1,0,0.3333,0.3333,0.3333,0.5664,1.8529,-0.1801,5.8201,1.4581,0.0000
0.1000,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.9125,38.3296,-1.5830,19.3101,0.3600,0.2249,0.0082,6.0000,0.0000,0.7253,17.9897,0.0682,15.5005,-8.5604,14.7438,-5.7459,14.6386,-5.6822,14.6251,-5.6842,14.5555,-5.6950,-0.7568,2.8145,-0.8619,2.8782,-0.8754,2.8761,1,0.1000,1,0,0.3333,0.3333,0.3333,0.6276,2.0482,-0.1990,5.8199,1.4589,0.0000
0.1100,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.9183,38.2857,-1.6326,19.3181,0.3600,0.2249,0.0083,6.0000,0.0000,0.7253,18.1014,0.0681,15.5753,-8.5560,14.7438,-5.7459,14.6386,-5.6822,14.6221,-5.6847,14.5443,-5.6966,-0.8316,2.8101,-0.9367,2.8738,-0.9532,2.8713,1,0.1100,1,0,0.3333,0.3333,0.3333,0.6884,2.2415,-0.2177,5.8197,1.4597,0.0000
0.1200,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.9222,38.2380,-1.6842,19.3269,0.3600,0.2249,0.0084,6.0000,0.0000,0.7253,18.2252,0.0681,15.6500,-8.5517,14.7438,-5.7459,14.6386,-5.6822,14.6188,-5.6852,14.5325,-5.6982,-0.9062,2.8058,-1.0114,2.8695,-1.0313,2.8665,1,0.1200,1,0,0.3333,0.3333,0.3333,0.7489,2.4327,-0.2362,5.8195,1.4606,0.0000
0.1300,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.9242,38.1866,-1.7376,19.3365,0.3600,0.2249,0.0084,6.0000,0.0000,0.7253,18.3610,0.0680,15.7246,-8.5476,14.7438,-5.7459,14.6386,-5.6822,14.6150,-5.6857,14.5201,-5.7000,-0.9808,2.8017,-1.0860,2.8654,-1.1095,2.8619,1,0.1300,1,0,0.3333,0.3333,0.3333,0.8091,2.6220,-0.2545,5.8193,1.4616,0.0000
0.1400,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.9243,38.1315,-1.7928,19.3469,0.3600,0.2249,0.0085,6.0000,0.0000,0.7253,18.5088,0.0680,15.7990,-8.5436,14.7438,-5.7459,14.6386,-5.6822,14.6110,-5.6863,14.5071,-5.7017,-1.0552,2.7977,-1.1604,2.8615,-1.1881,2.8573,1,0.1400,1,0,0.3333,0.3333,0.3333,0.8689,2.8093,-0.2726,5.8190,1.4626,0.0000
0.1500,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.9225,40.6209,0.6985,13.0119,0.3418,0.2156,0.0268,6.0000,12.1675,1.8839,2.6641,0.0680,15.8734,-8.5398,15.5005,-8.5604,15.6064,-8.2634,15.7596,-8.1089,19.5689,-16.1328,-0.3728,-0.0206,-0.2670,0.2764,-0.1137,0.4309,2,0.0500,2,0,0.3398,0.3373,0.3229,0.9284,2.9946,-0.2905,5.8187,1.4638,0.0000
0.1600,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.9188,40.5847,0.6659,13.0223,0.3418,0.2156,0.0269,6.0000,12.1675,1.8839,1.7494,0.0680,15.9476,-8.5361,15.5005,-8.5604,15.6064,-8.2634,15.8316,-8.2671,19.6539,-16.3250,-0.4471,-0.0243,-0.3412,0.2727,-0.1160,0.2690,2,0.0600,2,0,0.3398,0.3373,0.3229,0.9876,3.1780,-0.3082,5.8184,1.4650,0.0000
0.1700,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.9133,40.5452,0.6319,13.0339,0.3418,0.2156,0.0269,6.0000,12.1675,1.8840,0.9467,0.0680,16.0217,-8.5326,15.5005,-8.5604,15.6064,-8.2634,15.9035,-8.4259,19.7395,-16.5191,-0.5212,-0.0278,-0.4154,0.2692,-0.1182,0.1066,2,0.0700,2,0,0.3398,0.3373,0.3229,1.0465,3.3594,-0.3257,5.8181,1.4663,0.0000
0.1800,IMM-UKF,smooth,0.500,10.00,0.050,1,0.600,1,39.9060,40.5023,0.5963,13.0466,0.3418,0.2156,0.0270,6.0000,12.1675,1.8840,0.7872,0.0680,16.0958,-8.5292,15.5005,-8.5604,15.6064,-8.2634,15.9755,-8.5853,19.8256,-16.7151,-0.5953,-0.0312,-0.4894,0.2658,-0.1204,-0.0561,2,0.0800,2,0,0.3398,0.3373,0.3229,1.1051,3.5390,-0.3430,5.8177,1.4677,0.0000
