t_s,estimator,maneuver,horizon_s,detect_hz,latency_s,jitter,meas_corr,predict_on,true_range_m,est_range_m,range_err_m,range_sigma_m,est_size_w_m,est_size_h_m,size_err_m,true_speed_mps,est_speed_mps,held_err_px,est_err_px,track_err_px,origin_hdg,origin_att,delayed_hdg,delayed_att,jittered_hdg,jittered_att,est_hdg,est_att,pred_hdg,pred_att,err_delayed_hdg,err_delayed_att,err_jittered_hdg,err_jittered_att,err_est_hdg,err_est_att,detect_count,detect_age_s,tracker_updates,tracker_rejects,imm_p0,imm_p1,imm_p2,chaser_vx,chaser_vy,chaser_vz,target_vx,target_vy,target_vz
0.0100,IMM-UKF,jink,0.500,10.00,0.050,1,0.600,1,19.4193,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.5716,-11.7368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0666,0.1666,-0.0147,5.5437,2.2950,0.0000
0.0200,IMM-UKF,jink,0.500,10.00,0.050,1,0.600,1,19.4549,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.7056,-11.7142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1329,0.3314,-0.0292,5.5158,2.3614,0.0000
0.0300,IMM-UKF,jink,0.500,10.00,0.050,1,0.600,1,19.4894,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.8373,-11.6919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.1987,0.4944,-0.0435,5.4870,2.4274,0.0000
0.0400,IMM-UKF,jink,0.500,10.00,0.050,1,0.600,1,19.5227,nan,nan,nan,nan,nan,nan,6.0000,nan,0.0000,0.0000,0.0000,18.9668,-11.6699,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0000,0,0,0.0000,0.0000,0.0000,0.2641,0.6558,-0.0576,5.4575,2.4931,0.0000
0.0500,IMM-UKF,jink,0.500,10.00,0.050,1,0.600,1,19.5550,18.2111,-1.3439,9.1472,0.3600,0.1065,0.0187,6.0000,0.0000,1.5766,4.2511,0.1722,19.0940,-11.6483,18.4354,-11.7598,18.4936,-12.0174,18.4850,-12.0352,18.3967,-12.2174,-0.6586,-0.1116,-0.6004,-0.3692,-0.6090,-0.3869,1,0.0500,1,0,0.3333,0.3333,0.3333,0.3290,0.8154,-0.0715,5.4272,2.5584,0.0000
0.0600,IMM-UKF,jink,0.500,10.00,0.050,1,0.600,1,19.5862,18.1922,-1.3940,9.1560,0.3600,0.1065,0.0187,6.0000,0.0000,1.5762,4.9859,0.1717,19.2190,-11.6270,18.4354,-11.7598,18.4936,-12.0174,18.4811,-12.0429,18.3738,-12.2623,-0.7836,-0.1329,-0.7254,-0.3905,-0.7378,-0.4160,1,0.0600,1,0,0.3333,0.3333,0.3333,0.3936,0.9733,-0.0852,5.3961,2.6233,0.0000
0.0700,IMM-UKF,jink,0.500,10.00,0.050,1,0.600,1,19.6163,18.1701,-1.4462,9.1664,0.3600,0.1065,0.0187,6.0000,0.0000,1.5758,5.7266,0.1712,19.3418,-11.6060,18.4354,-11.7598,18.4936,-12.0174,18.4765,-12.0520,18.3495,-12.3089,-0.9064,-0.1539,-0.8482,-0.4115,-0.8653,-0.4461,1,0.0700,1,0,0.3333,0.3333,0.3333,0.4577,1.1296,-0.0987,5.3643,2.6879,0.0000
0.0800,IMM-UKF,jink,0.500,10.00,0.050,1,0.600,1,19.6452,18.1447,-1.5006,9.1783,0.3600,0.1065,0.0185,6.0000,0.0000,1.5754,6.4689,0.1707,19.4624,-11.5853,18.4354,-11.7598,18.4936,-12.0174,18.4711,-12.0625,18.3240,-12.3572,-1.0270,-0.1745,-0.9688,-0.4321,-0.9913,-0.4772,1,0.0800,1,0,0.3333,0.3333,0.3333,0.5213,1.2843,-0.1120,5.3316,2.7521,0.0000
0.0900,IMM-UKF,jink,0.500,10.00,0.050,1,0.600,1,19.6731,18.1161,-1.5570,9.1919,0.3600,0.1065,0.0183,6.0000,0.0000,1.5750,7.2103,0.1702,19.5808,-11.5650,18.4354,-11.7598,18.4936,-12.0174,18.4649,-12.0744,18.2971,-12.4074,-1.1454,-0.1948,-1.0872,-0.4525,-1.1158,-0.5094,1,0.0900,1,0,0.3333,0.3333,0.3333,0.5846,1.4373,-0.1250,5.2982,2.8158,0.0000
0.1000,IMM-UKF,jink,0.500,10.00,0.050,1,0.600,1,19.7000,18.0845,-1.6155,9.2071,0.3600,0.1065,0.0180,6.0000,0.0000,1.5746,7.9496,0.1696,19.6970,-11.5450,18.4354,-11.7598,18.4936,-12.0174,18.4580,-12.0876,18.2689,-12.4593,-1.2616,-0.2149,-1.2034,-0.4725,-1.2390,-0.5427,1,0.1000,1,0,0.3333,0.3333,0.3333,0.6474,1.5887,-0.1379,5.2640,2.8792,0.0000
0.1100,IMM-UKF,jink,0.500,10.00,0.050,1,0.600,1,19.7257,18.0497,-1.6760,9.2239,0.3600,0.1065,0.0177,6.0000,0.0000,1.5741,8.6857,0.1691,19.8110,-11.5253,18.4354,-11.7598,18.4936,-12.0174,18.4502,-12.1022,18.2393,-12.5131,-1.3756,-0.2346,-1.3174,-0.4922,-1.3609,-0.5770,1,0.1100,1,0,0.3333,0.3333,0.3333,0.7097,1.7386,-0.1506,5.2291,2.9422,0.0000
0.1200,IMM-UKF,jink,0.500,10.00,0.050,1,0.600,1,19.7504,18.0120,-1.7384,9.2423,0.3600,0.1065,0.0173,6.0000,0.0000,1.5737,9.4181,0.1686,19.9229,-11.5059,18.4354,-11.7598,18.4936,-12.0174,18.4416,-12.1182,18.2083,-12.5689,-1.4875,-0.2539,-1.4293,-0.5115,-1.4814,-0.6123,1,0.1200,1,0,0.3333,0.3333,0.3333,0.7716,1.8868,-0.1631,5.1934,3.0047,0.0000
0.1300,IMM-UKF,jink,0.500,10.00,0.050,1,0.600,1,19.7741,17.9713,-1.8028,9.2623,0.3600,0.1065,0.0168,6.0000,0.0000,1.5733,10.1465,0.1680,20.0326,-11.4868,18.4354,-11.7598,18.4936,-12.0174,18.4321,-12.1355,18.1758,-12.6266,-1.5972,-0.2730,-1.5390,-0.5306,-1.6005,-0.6487,1,0.1300,1,0,0.3333,0.3333,0.3333,0.8331,2.0336,-0.1754,5.1570,3.0668,0.0000
0.1400,IMM-UKF,jink,0.500,10.00,0.050,1,0.600,1,19.7967,17.9276,-1.8691,9.2839,0.3600,0.1065,0.0162,6.0000,0.0000,1.5728,10.8709,0.1675,20.1402,-11.4681,18.4354,-11.7598,18.4936,-12.0174,18.4218,-12.1543,18.1418,-12.6863,-1.7048,-0.2918,-1.6466,-0.5494,-1.7184,-0.6862,1,0.1400,1,0,0.3333,0.3333,0.3333,0.8941,2.1787,-0.1876,5.1198,3.1285,0.0000
